character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Ness,Ground Attacks,Jab 1,3,19,--,2.0,-13,3,Transitions to Jab 2 as early as frame 5,8,3,--,16,,
Ness,Ground Attacks,Jab 2,3,19,--,1.5,-13,3,Transitions to Jab 3 as early as frame 6,5,3,--,16,,
Ness,Ground Attacks,Jab 3,6,29,--,4.0,-18,6—7,--,11,5,--,22,,
Ness,Ground Attacks,Forward Tilt,7,34,--,10.0,-17,7—10,--,8,10,--,24,,
Ness,Ground Attacks,Up Tilt,5,28,--,9.0/7.0,-14/-16,5—6(7—8),--,8/6,9/7,Close/Far,20,,
Ness,Ground Attacks,Down Tilt,3,11,--,4.5/3.0,-3/-4,3—4,Can transition to another Dtilt as early as frame 6.,5/5,5/4,Far/Close,7,,
Ness,Ground Attacks,Dash Attack,8/15/23,39,--,4.0/2.0/6.0,-10,8/15—16/23—24,--,5/4/10,5/3/7,--,15,,
Ness,Ground Attacks,Forward Smash,21,54,--,18.0/20.0/22.0,-21/-20/-19,21—22,Reflects on frame 18-30. Charge hold is frame 10.,11/12/15,12/13/14,close/med/far,32,,
Ness,Ground Attacks,Up Smash,10,52,--,13.0,-33,10—32,Charge hold on frame 10 and also creates a hitbox hitting every 6 frames,4/9,2/9,charging/launch,20,,
Ness,Ground Attacks,Down Smash,12/17/23/31,45,--,1.0/10.0,-21/-7,12—15(17—18)/23—25(31—32),Charge hold on frame 12 and also creates a hitbox hitting every 6 frames,4/8,2/7,weak/strong,13,,
Ness,Ground Attacks,Neutral Air,5,35,8,11.0/7.0,-3/-5,5—12(13—15),Autocancels on frame 1-4 and 26 onward,9/7,5/3,Early/Late,20,,
Ness,Ground Attacks,Forward Air,8.../20,39,12,1.5/5.5,-10/-9,8—18 (rehit: 5) / 20-21,Autocancels on frame 1-7 and 33 onward,4/9,2/3,Multi/Final,21,,
Ness,Ground Attacks,Back Air,10,35,10,15.0/8.0,-4/-6,10—11(12—18),Autocancels on frame 1-9 and 25 onward,10/7,6/4,Early/Late,17,,
Ness,Ground Attacks,Up Air,8.../15,33,8,2.5/5.0,-6/-5,8—14 (rehit: 2) / 15—16,Autocancels on frame 1-7 and 34 onward,5/9,2/3,Multi/Final,19,,
