character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Olimar,Ground Attacks,Jab 1,4,19,--,3.0 / 4.0,-11/-10,4(5),Transitions to Jab 2 as early as frame 7,8/9,4/5,Early/Late,14,,
Olimar,Ground Attacks,Jab 2,4,17,--,3.0/4.0,-9/-8,4—5,--,5/5,4/5,Close/Far,12,,
Olimar,Ground Attacks,Forward Tilt,15,35,--,11.0,-10,15—17,--,8,10,--,18,,
Olimar,Ground Attacks,Up Tilt,6/8/10/12/14/16,38,--,0.6/4.0,-17,6/8/10/12/14/16,--,4/5,2/5,Multi/Final,22,,
Olimar,Ground Attacks,Down Tilt,6,29,--,6.0,-17,6—12,--,6,6,--,17,,
Olimar,Ground Attacks,Dash Attack,8/11,37,--,7.0 / 4.0,-21,8—10/11—14,--,7/5,-/5,--,23,,
Olimar,Ground Attacks,Forward Smash,11,39,--,Early:20.314.514.511.623.2Late:14.010.010.08.016.0Later:8.46.06.04.89.6,,11—13(14-19/20—29)Purple: 11—13(14—18/19—24),Charge hold is frame 6. Olimar does not suffer hitlag from this attack. But Pikmin do.,Early:121510914Late:10128710Later:79668,Early:65547Late:54435Later:33334,--,10,,
Olimar,Ground Attacks,Up Smash,12,39,--,Early:18.213.013.010.420.8Far:14.010.010.08.016.0Late:15.411.011.08.817.6,,12—13(14—16/17—22),Charge hold is frame 4. Olimar does not suffer hitlag from this attack. But Pikmin do.,Early:11149813Far:10128710Late:10138711,Early:65546Far:54435Late:54446,--,17,,
Olimar,Ground Attacks,Down Smash,10,38,--,Early:15.411.011.08.817.6Late:12.69.09.07.214.4,,10—13/14—18Purple: 10—13/14—15,Charge hold is frame 6. Olimar does not suffer hitlag from this attack. But Pikmin do.,Early:10138711Late:911779,Early:54446Late:44435,--,20,,
Olimar,Ground Attacks,Neutral Air,7/11/15/19/23,53,13,1.5/2.0,-11/-11,7—8/11—12/15—16/19—20/23—24,Autocancels on frame 1-2 and 34 onward,4/4,2/2,Multi/Final,29,,
Olimar,Ground Attacks,Forward Air,7,42,9,11.98.58.56.813.6,,7—9,"Autocancels on frame 1-5 and 31 onwardGIF Notes: Red Pikmin counts for Blue, White and Purple. The Pikmin should be bigger during the active frames. Olimar should be holding them just below the leaf/bud/flower. Hitbox is accurate nonetheless.",911879,54435,--,33,,
Olimar,Ground Attacks,Back Air,10,48,9,15.110.810.88.617.2,,10—13,"Autocancels on frame 1-5 and 36 onwardGIF Notes: Red Pikmin counts for Blue, White and Purple. The Pikmin should be bigger during the active frames. Olimar should be holding them just below the leaf/bud/flower. Hitbox is accurate nonetheless.",10138711,54446,--,35,,
Olimar,Ground Attacks,Up Air,8,34,18,12.69.09.07.214.4,,8—15,"Autocancels on frame 1-5 and 31 onwardGIF Notes: Red Pikmin counts for Blue, White and Purple. The Pikmin should be bigger during the active frames. Olimar should be holding them just below the leaf/bud/flower. Hitbox is accurate nonetheless.",9117710,54435,--,19,,
Olimar,Ground Attacks,Down Air,9,51,18,12.69.09.07.214.4,,9—10(11—16),"Autocancels on frame 1-5 and 31 onward. Spikes 9—10, does not spike 11—16.GIF Notes: Red Pikmin counts for Blue, White and Purple. The Pikmin should be bigger during the active frames. Olimar should be holding them just below the leaf/bud/flower. Hitbox is accurate nonetheless.",9117710,54435,Clean/Late,35,,
Olimar,Ground Attacks,Neutral B (Pikmin Pluck),--,8,--,--,--,1,32 frame failure animation when your squad is full.,--,--,--,7,,
Olimar,Ground Attacks,Side B (Pikmin Throw),9,24,--,Purple: 6.0,Purple: -6,9—128(9—108),"A latched pikmin hits on frame 18, then every 36 frames after that (counting Pikmin's hitlag)",Purple: 6,Purple: 3,--,--,,
Olimar,Ground Attacks,Up B (Winged Pikmin),--,--,30/19,--,--,--,30 landing lag if the pikmin let go of you. Frame 30 is the earliest you can cancel the move.,--,--,--,--,,
Olimar,Ground Attacks,Down B (Pikmin Order/Whistle),2 (Start of Super Armor),17,--,--,--,2—7 (armor),Super armor on frame 2-7,--,--,--,--,,
Olimar,Ground Attacks,Red/Blue/Yellow Grabs,12,41/47/56,--,--,,12—23,Total frames depends on having one/two/three pikmin,,,,18,,
Olimar,Ground Attacks,White Grabs,12,41/47/56,--,--,,12—23,Total frames depends on having one/two/three pikmin,,,,,,
Olimar,Ground Attacks,Purple Grabs,12,41/47/56,--,--,,12—23,Total frames depends on having one/two/three pikmin.,,,,,,
Olimar,Ground Attacks,Grab Range Comparison,12,41/47/56,--,--,,12—23,"Grabs have increased range when standing right at the ledge. The increase in range, which is proportional to the number of Pikmin, makes P3 outrage RBY1.Total frames depends on having one/two/three pikmin.",,,,,,
Olimar,Ground Attacks,Dash Grab,12,49/57/68,--,--,,12—23,Total frames depends on having one/two/three pikmin,,,,,,
Olimar,Ground Attacks,Pivot Grab,12,44/51/60,--,--,,12—23,Total frames depends on having one/two/three pikmin,,,,,,
Olimar,Ground Attacks,Pummel,1,16,--,1.0,,,Total frames includes 10 frames of hitlag,,,,,,
Olimar,Ground Attacks,Forward Throw,19,35,--,5.6/7.0/11.9/7.0/7.0,,,--,,,,,,
Olimar,Ground Attacks,Backward Throw,22,39,--,7.2/9.0/15.3/9.0/9.0,,,--,,,,,,
Olimar,Ground Attacks,Up Throw,22/23,49,--,6.4/8.0/13.5/8.0/8.0,,,--,,,,,,
Olimar,Ground Attacks,Down Throw,23/32,41,--,6.6/8.0/12.9/7.8/8.6,,,--,,,,,,
Olimar,Ground Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17,,,,,,
Olimar,Ground Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15,,,,,,
Olimar,Ground Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16,,,,,,
Olimar,Ground Attacks,Neutral Air Dodge,,57,10,,,,Intangible on frame 3-29,,,,,,
Olimar,Ground Attacks,"Air Dodge, Down",,78,11-19,,,,Intangible on frame 3-21,,,,,,
Olimar,Ground Attacks,"Air Dodge, Diagonally Down",,87,11-19,,,,Intangible on frame 3-21,,,,,,
Olimar,Ground Attacks,"Air Dodge, Left/Right",,96,11-19,,,,Intangible on frame 3-21,,,,,,
Olimar,Ground Attacks,"Air Dodge, Diagonally Up",,118,11-19,,,,Intangible on frame 3-21,,,,,,
Olimar,Ground Attacks,"Air Dodge, Up",,132,11-19,,,,Intangible on frame 3-21,,,,,,
Olimar,Ground Attacks,Stats,,,,,,,,,,,,,
Olimar,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Olimar,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Olimar,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Olimar,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Olimar,Aerial Attacks,Neutral Air,7/11/15/19/23,53,13,1.5/2.0,-11/-11,7—8/11—12/15—16/19—20/23—24,Autocancels on frame 1-2 and 34 onward,4/4,2/2,Multi/Final,29,,
Olimar,Aerial Attacks,Forward Air,7,42,9,11.98.58.56.813.6,,7—9,"Autocancels on frame 1-5 and 31 onwardGIF Notes: Red Pikmin counts for Blue, White and Purple. The Pikmin should be bigger during the active frames. Olimar should be holding them just below the leaf/bud/flower. Hitbox is accurate nonetheless.",911879,54435,--,33,,
Olimar,Aerial Attacks,Back Air,10,48,9,15.110.810.88.617.2,,10—13,"Autocancels on frame 1-5 and 36 onwardGIF Notes: Red Pikmin counts for Blue, White and Purple. The Pikmin should be bigger during the active frames. Olimar should be holding them just below the leaf/bud/flower. Hitbox is accurate nonetheless.",10138711,54446,--,35,,
Olimar,Aerial Attacks,Up Air,8,34,18,12.69.09.07.214.4,,8—15,"Autocancels on frame 1-5 and 31 onwardGIF Notes: Red Pikmin counts for Blue, White and Purple. The Pikmin should be bigger during the active frames. Olimar should be holding them just below the leaf/bud/flower. Hitbox is accurate nonetheless.",9117710,54435,--,19,,
Olimar,Aerial Attacks,Down Air,9,51,18,12.69.09.07.214.4,,9—10(11—16),"Autocancels on frame 1-5 and 31 onward. Spikes 9—10, does not spike 11—16.GIF Notes: Red Pikmin counts for Blue, White and Purple. The Pikmin should be bigger during the active frames. Olimar should be holding them just below the leaf/bud/flower. Hitbox is accurate nonetheless.",9117710,54435,Clean/Late,35,,
Olimar,Aerial Attacks,Neutral B (Pikmin Pluck),--,8,--,--,--,1,32 frame failure animation when your squad is full.,--,--,--,7,,
Olimar,Aerial Attacks,Side B (Pikmin Throw),9,24,--,Purple: 6.0,Purple: -6,9—128(9—108),"A latched pikmin hits on frame 18, then every 36 frames after that (counting Pikmin's hitlag)",Purple: 6,Purple: 3,--,--,,
Olimar,Aerial Attacks,Up B (Winged Pikmin),--,--,30/19,--,--,--,30 landing lag if the pikmin let go of you. Frame 30 is the earliest you can cancel the move.,--,--,--,--,,
Olimar,Aerial Attacks,Down B (Pikmin Order/Whistle),2 (Start of Super Armor),17,--,--,--,2—7 (armor),Super armor on frame 2-7,--,--,--,--,,
Olimar,Aerial Attacks,Red/Blue/Yellow Grabs,12,41/47/56,--,--,,12—23,Total frames depends on having one/two/three pikmin,,,,18,,
Olimar,Aerial Attacks,White Grabs,12,41/47/56,--,--,,12—23,Total frames depends on having one/two/three pikmin,,,,,,
Olimar,Aerial Attacks,Purple Grabs,12,41/47/56,--,--,,12—23,Total frames depends on having one/two/three pikmin.,,,,,,
Olimar,Aerial Attacks,Grab Range Comparison,12,41/47/56,--,--,,12—23,"Grabs have increased range when standing right at the ledge. The increase in range, which is proportional to the number of Pikmin, makes P3 outrage RBY1.Total frames depends on having one/two/three pikmin.",,,,,,
Olimar,Aerial Attacks,Dash Grab,12,49/57/68,--,--,,12—23,Total frames depends on having one/two/three pikmin,,,,,,
Olimar,Aerial Attacks,Pivot Grab,12,44/51/60,--,--,,12—23,Total frames depends on having one/two/three pikmin,,,,,,
Olimar,Aerial Attacks,Pummel,1,16,--,1.0,,,Total frames includes 10 frames of hitlag,,,,,,
Olimar,Aerial Attacks,Forward Throw,19,35,--,5.6/7.0/11.9/7.0/7.0,,,--,,,,,,
Olimar,Aerial Attacks,Backward Throw,22,39,--,7.2/9.0/15.3/9.0/9.0,,,--,,,,,,
Olimar,Aerial Attacks,Up Throw,22/23,49,--,6.4/8.0/13.5/8.0/8.0,,,--,,,,,,
Olimar,Aerial Attacks,Down Throw,23/32,41,--,6.6/8.0/12.9/7.8/8.6,,,--,,,,,,
Olimar,Aerial Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17,,,,,,
Olimar,Aerial Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15,,,,,,
Olimar,Aerial Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16,,,,,,
Olimar,Aerial Attacks,Neutral Air Dodge,,57,10,,,,Intangible on frame 3-29,,,,,,
Olimar,Aerial Attacks,"Air Dodge, Down",,78,11-19,,,,Intangible on frame 3-21,,,,,,
Olimar,Aerial Attacks,"Air Dodge, Diagonally Down",,87,11-19,,,,Intangible on frame 3-21,,,,,,
Olimar,Aerial Attacks,"Air Dodge, Left/Right",,96,11-19,,,,Intangible on frame 3-21,,,,,,
Olimar,Aerial Attacks,"Air Dodge, Diagonally Up",,118,11-19,,,,Intangible on frame 3-21,,,,,,
Olimar,Aerial Attacks,"Air Dodge, Up",,132,11-19,,,,Intangible on frame 3-21,,,,,,
Olimar,Aerial Attacks,Stats,,,,,,,,,,,,,
Olimar,Aerial Attacks,Ledge Grab,,,,,,,,,,,,,
Olimar,Aerial Attacks,Ledge Hang,,,,,,,,,,,,,
Olimar,Aerial Attacks,Ledge Roll,,,,,,,,,,,,,
Olimar,Aerial Attacks,Getup Attacks,,,,,,,,,,,,,
Olimar,Special Attacks,Neutral B (Pikmin Pluck),--,8,--,--,--,1,32 frame failure animation when your squad is full.,--,--,--,7,,
Olimar,Special Attacks,Side B (Pikmin Throw),9,24,--,Purple: 6.0,Purple: -6,9—128(9—108),"A latched pikmin hits on frame 18, then every 36 frames after that (counting Pikmin's hitlag)",Purple: 6,Purple: 3,--,--,,
Olimar,Special Attacks,Up B (Winged Pikmin),--,--,30/19,--,--,--,30 landing lag if the pikmin let go of you. Frame 30 is the earliest you can cancel the move.,--,--,--,--,,
Olimar,Special Attacks,Down B (Pikmin Order/Whistle),2 (Start of Super Armor),17,--,--,--,2—7 (armor),Super armor on frame 2-7,--,--,--,--,,
Olimar,Special Attacks,Red/Blue/Yellow Grabs,12,41/47/56,--,--,,12—23,Total frames depends on having one/two/three pikmin,,,,18,,
Olimar,Special Attacks,White Grabs,12,41/47/56,--,--,,12—23,Total frames depends on having one/two/three pikmin,,,,,,
Olimar,Special Attacks,Purple Grabs,12,41/47/56,--,--,,12—23,Total frames depends on having one/two/three pikmin.,,,,,,
Olimar,Special Attacks,Grab Range Comparison,12,41/47/56,--,--,,12—23,"Grabs have increased range when standing right at the ledge. The increase in range, which is proportional to the number of Pikmin, makes P3 outrage RBY1.Total frames depends on having one/two/three pikmin.",,,,,,
Olimar,Special Attacks,Dash Grab,12,49/57/68,--,--,,12—23,Total frames depends on having one/two/three pikmin,,,,,,
Olimar,Special Attacks,Pivot Grab,12,44/51/60,--,--,,12—23,Total frames depends on having one/two/three pikmin,,,,,,
Olimar,Special Attacks,Pummel,1,16,--,1.0,,,Total frames includes 10 frames of hitlag,,,,,,
Olimar,Special Attacks,Forward Throw,19,35,--,5.6/7.0/11.9/7.0/7.0,,,--,,,,,,
Olimar,Special Attacks,Backward Throw,22,39,--,7.2/9.0/15.3/9.0/9.0,,,--,,,,,,
Olimar,Special Attacks,Up Throw,22/23,49,--,6.4/8.0/13.5/8.0/8.0,,,--,,,,,,
Olimar,Special Attacks,Down Throw,23/32,41,--,6.6/8.0/12.9/7.8/8.6,,,--,,,,,,
Olimar,Special Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17,,,,,,
Olimar,Special Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15,,,,,,
Olimar,Special Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16,,,,,,
Olimar,Special Attacks,Neutral Air Dodge,,57,10,,,,Intangible on frame 3-29,,,,,,
Olimar,Special Attacks,"Air Dodge, Down",,78,11-19,,,,Intangible on frame 3-21,,,,,,
Olimar,Special Attacks,"Air Dodge, Diagonally Down",,87,11-19,,,,Intangible on frame 3-21,,,,,,
Olimar,Special Attacks,"Air Dodge, Left/Right",,96,11-19,,,,Intangible on frame 3-21,,,,,,
Olimar,Special Attacks,"Air Dodge, Diagonally Up",,118,11-19,,,,Intangible on frame 3-21,,,,,,
Olimar,Special Attacks,"Air Dodge, Up",,132,11-19,,,,Intangible on frame 3-21,,,,,,
Olimar,Special Attacks,Stats,,,,,,,,,,,,,
