character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Palutena,Ground Attacks,Jab 1,8,24,--,3.0,-12,8—9,Transitions to rapid jab as early as frame 13,8,4,--,15,,
Palutena,Ground Attacks,Rapid Jab,4/7/10...,--,--,0.6,--,4/7/10...,--,4,-,--,--,,
Palutena,Ground Attacks,Rapid Jab Finisher,3,39,--,3.5,-32,3,--,11,4,--,36,,
Palutena,Ground Attacks,Forward Tilt,14/24,59,--,6.0/7.0,-28,14—23/24—35,Right-arm intangible 14—35,6/7,6/7,--,24,,
Palutena,Ground Attacks,Up Tilt,8...,55,--,1.4/4.5,-27,8—22/24—25 (rehit: 3),--,4/7,3/4,Multi/Final,30,,
Palutena,Ground Attacks,Down Tilt,14,39,--,8.5 (grounded opponents) // 5.0 (aerial opponents),-17,14—27,--,7,8,--,12,,
Palutena,Ground Attacks,Dash Attack,6,40,--,11.0/7.0,-23/-21,6—9/10—17,"Head, torso, and arm invincibility on frame 5-6. Arm invincibility continues frame 7-16",8/7,10/7,Early/Late,23,,
Palutena,Ground Attacks,Forward Smash,18,63,--,16.0/13.0,-34/-36,18—20,Charge hold is frame 10,10/9,11/9,Close/Far,43,,
Palutena,Ground Attacks,Up Smash,18,63,--,(16.0%/12.0%/9.0%)/(13.0%/9.0%/7.0%),-34/-37,18—29/30—35,Charge hold is frame 12. Damage values are Early(Close/Mid/Far)/Late(Close/Mid/Far).,10/9,11/8,Early/Late,28,,
Palutena,Ground Attacks,Down Smash,17,68,--,15.0/13.0,-41/-42,17—19,Charge hold is frame 13,14/9,10/9,Close/Far,49,,
Palutena,Ground Attacks,Neutral Air,5...,51,12,1.4/5.0,-10/-9,5—27/29—30 (rehit: 4),"Autocancels on frame 1-3 and 40 onward. Final hitbox has an inner and outer circle as of 7.0.0 -- inner circle only hits aerial opponents, outer circle only hits grounded opponents.",4/9,2/3,Multi/Final,21,,
Palutena,Ground Attacks,Forward Air,9,44,9,10.0,-5,9—11,Autocancels on frame 1-3 and 24 onward,8,4,--,33,,
Palutena,Ground Attacks,Back Air,8,49,10,12.0,-5,8—10,Arm invinicibility on frame 7-10. Autocancels on frame 1-2 and 35 onward,11,5,--,39,,
Palutena,Ground Attacks,Up Air,10...,51,14,1.0/5.0,-12/-11,10—22/24—25 (rehit: 3),Autocancels on frame 1-2 and 42 onward,4/9,2/3,Multi/Final,26,,
Palutena,Ground Attacks,Down Air,10,58,11,11.0,-7,10—11,Autocancels on frame 1-2 and 48 onward,13,4,--,47,,
Palutena,Ground Attacks,Neutral B (Autoreticle),24/30/36,67,--,3.5,-24,24/30/36,Targets on frames 7-14.,5,2,--,31,,
Palutena,Ground Attacks,Side B (Explosive Flame),28/33/38/43/48/53/57,71,--,1.5/5.5,-2,28/33/38/43/48/53/57,Area of explosion dictated on frame 1. Smash input for farther distance,4/9,-/3,Multi/Final,14,,
Palutena,Ground Attacks,Up B (Warp),**,67,22,--,--,**,Invulnerable on frame 16-32. Total frames refers to ending on the ground.,--,--,--,--,,
Palutena,Ground Attacks,Down B (Counter),7 (Start of Counter/Reflect),70,--,--,--,**,Invulnerable on frame 6. Counters/Reflects on frame 7-34,--,--,--,--,,
Palutena,Ground Attacks,"Counter, Attack/Reflect",4/--,36/34,--,--,--,4—6,Attack: Invulnerable on frame 1-5 in addition to counter freeze frames.Reflect: Barrier lasts until frame 45 for additional reflects. Wind box on 1-11.,--,--,Attack/Reflect,30,,
Palutena,Ground Attacks,Grab,7,39,--,--,,7—8,--,,,,31,,
Palutena,Ground Attacks,Dash Grab,10,47,--,--,,10—11,--,,,,36,,
Palutena,Ground Attacks,Pivot Grab,11,42,--,--,,11—12,--,,,,30,,
Palutena,Ground Attacks,Pummel,1,19,--,1.3,,,Total frames includes 13 frames of hitlag,,,,,,
Palutena,Ground Attacks,Forward Throw,20,44,--,9.0,,,--,,,,,,
Palutena,Ground Attacks,Backward Throw,20,54,--,10.0,,,--,,,,,,
Palutena,Ground Attacks,Up Throw,17,54,--,8.0,,,--,,,,,,
Palutena,Ground Attacks,Down Throw,25,45,--,5.0,,,--,,,,,,
Palutena,Ground Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17,,,,,,
Palutena,Ground Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15,,,,,,
Palutena,Ground Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16,,,,,,
Palutena,Ground Attacks,Neutral Air Dodge,,49,10,,,,Intangible on frame 3-30,,,,,,
Palutena,Ground Attacks,"Air Dodge, Down",,70,11-19,,,,Intangible on frame 3-21,,,,,,
Palutena,Ground Attacks,"Air Dodge, Diagonally Down",,77,11-19,,,,Intangible on frame 3-21,,,,,,
Palutena,Ground Attacks,"Air Dodge, Left/Right",,82,11-19,,,,Intangible on frame 3-21,,,,,,
Palutena,Ground Attacks,"Air Dodge, Diagonally Up",,93,11-19,,,,Intangible on frame 3-21,,,,,,
Palutena,Ground Attacks,"Air Dodge, Up",,105,11-19,,,,Intangible on frame 3-21,,,,,,
Palutena,Ground Attacks,Stats,,,,,,,,,,,,,
Palutena,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Palutena,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Palutena,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Palutena,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Palutena,Aerial Attacks,Neutral Air,5...,51,12,1.4/5.0,-10/-9,5—27/29—30 (rehit: 4),"Autocancels on frame 1-3 and 40 onward. Final hitbox has an inner and outer circle as of 7.0.0 -- inner circle only hits aerial opponents, outer circle only hits grounded opponents.",4/9,2/3,Multi/Final,21,,
Palutena,Aerial Attacks,Forward Air,9,44,9,10.0,-5,9—11,Autocancels on frame 1-3 and 24 onward,8,4,--,33,,
Palutena,Aerial Attacks,Back Air,8,49,10,12.0,-5,8—10,Arm invinicibility on frame 7-10. Autocancels on frame 1-2 and 35 onward,11,5,--,39,,
Palutena,Aerial Attacks,Up Air,10...,51,14,1.0/5.0,-12/-11,10—22/24—25 (rehit: 3),Autocancels on frame 1-2 and 42 onward,4/9,2/3,Multi/Final,26,,
Palutena,Aerial Attacks,Down Air,10,58,11,11.0,-7,10—11,Autocancels on frame 1-2 and 48 onward,13,4,--,47,,
Palutena,Aerial Attacks,Neutral B (Autoreticle),24/30/36,67,--,3.5,-24,24/30/36,Targets on frames 7-14.,5,2,--,31,,
Palutena,Aerial Attacks,Side B (Explosive Flame),28/33/38/43/48/53/57,71,--,1.5/5.5,-2,28/33/38/43/48/53/57,Area of explosion dictated on frame 1. Smash input for farther distance,4/9,-/3,Multi/Final,14,,
Palutena,Aerial Attacks,Up B (Warp),**,67,22,--,--,**,Invulnerable on frame 16-32. Total frames refers to ending on the ground.,--,--,--,--,,
Palutena,Aerial Attacks,Down B (Counter),7 (Start of Counter/Reflect),70,--,--,--,**,Invulnerable on frame 6. Counters/Reflects on frame 7-34,--,--,--,--,,
Palutena,Aerial Attacks,"Counter, Attack/Reflect",4/--,36/34,--,--,--,4—6,Attack: Invulnerable on frame 1-5 in addition to counter freeze frames.Reflect: Barrier lasts until frame 45 for additional reflects. Wind box on 1-11.,--,--,Attack/Reflect,30,,
Palutena,Aerial Attacks,Grab,7,39,--,--,,7—8,--,,,,31,,
Palutena,Aerial Attacks,Dash Grab,10,47,--,--,,10—11,--,,,,36,,
Palutena,Aerial Attacks,Pivot Grab,11,42,--,--,,11—12,--,,,,30,,
Palutena,Aerial Attacks,Pummel,1,19,--,1.3,,,Total frames includes 13 frames of hitlag,,,,,,
Palutena,Aerial Attacks,Forward Throw,20,44,--,9.0,,,--,,,,,,
Palutena,Aerial Attacks,Backward Throw,20,54,--,10.0,,,--,,,,,,
Palutena,Aerial Attacks,Up Throw,17,54,--,8.0,,,--,,,,,,
Palutena,Aerial Attacks,Down Throw,25,45,--,5.0,,,--,,,,,,
Palutena,Aerial Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17,,,,,,
Palutena,Aerial Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15,,,,,,
Palutena,Aerial Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16,,,,,,
Palutena,Aerial Attacks,Neutral Air Dodge,,49,10,,,,Intangible on frame 3-30,,,,,,
Palutena,Aerial Attacks,"Air Dodge, Down",,70,11-19,,,,Intangible on frame 3-21,,,,,,
Palutena,Aerial Attacks,"Air Dodge, Diagonally Down",,77,11-19,,,,Intangible on frame 3-21,,,,,,
Palutena,Aerial Attacks,"Air Dodge, Left/Right",,82,11-19,,,,Intangible on frame 3-21,,,,,,
Palutena,Aerial Attacks,"Air Dodge, Diagonally Up",,93,11-19,,,,Intangible on frame 3-21,,,,,,
Palutena,Aerial Attacks,"Air Dodge, Up",,105,11-19,,,,Intangible on frame 3-21,,,,,,
Palutena,Aerial Attacks,Stats,,,,,,,,,,,,,
