character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Pichu,Ground Attacks,Jab,2,16,--,1.2,-11,2—3,Transitions to next Jab as early as frame 7.,4,3,--,13,,
Pichu,Ground Attacks,Forward Tilt,5,24,--,8.0,-11,5—12,1.2 base recoil damage,11,8,--,12,,
Pichu,Ground Attacks,Up Tilt,7,23,--,5.0,-10,7—14,--,6,6,--,9,,
Pichu,Ground Attacks,Down Tilt,7,18,--,6.0,-4,7—8,--,6,7,--,10,,
Pichu,Ground Attacks,Dash Attack,6,34,--,8.0/6.0,-20,6—9/10—15,--,7/6,8/7,Early/Late,19,,
Pichu,Ground Attacks,Forward Smash,16/19/22/25/28/31,53,--,2.0/8.0,-16,16—18/19—21/22—24/25—27/28—30/31—33,Charge hold is frame 13. 2.4 base recoil damage,7/11,-/6,Multi/Final,20,,
Pichu,Ground Attacks,Up Smash,9,40,--,14.0,-21,9—11,Ear intangibility on frame 9-11. Charge hold is frame 4.,10,10,--,29,,
Pichu,Ground Attacks,Down Smash,8/11/15/19/23,50,--,1.5/8.0,-21,8—9/11—12/15—16/19—20/23—24,Invulnerable on frame 7-10. Charge hold is frame 4. 1.5 base recoil damage,7/11,2/6,Multi/Final,26,,
Pichu,Ground Attacks,Neutral Air,3,39,7,7.0/5.0,-4/-4,3—9/10—27,Autocancels on frame 1-2 and 35 onward. Ear intangibility on frames 3-9.,7/6,3/3,Early/Late,12,,
Pichu,Ground Attacks,Forward Air,10/14/18/22,39,12,3.5/3.5,-10/-10,10—12/14—16/18—20/22—23,Autocancels on frame 1-9 and 34 onward. 1.8 base recoil damage,8/8,2/2,Multi/Final,16,,
Pichu,Ground Attacks,Back Air,5/11/15/19/26/30,54,18,2.0/2.5,-16/-16,5—6/11—12/15—16/19—20/26—27/30—31,Autocancels on frame 1-4 and 38 onward. 1.8 base recoil damage,7/7,2/2,Multi/Final,23,,
Pichu,Ground Attacks,Up Air,4,26,11,4.0,-8,4—9,Autocancels on frame 1-3 and 18 onward,5,3,--,17,,
Pichu,Ground Attacks,Down Air,14,47,22,13.0/12.0/4.0,-16,14—17/18—26/1—2,Ear intangibility on frame 14-17. Landing hit on frame 1. Autocancels on frame 32 onward. Recoil damage is 1.8 when hitbox comes out and 0.5 on landing,14/13/8,5/5/5,Early/Late/Landing,21,,
Pichu,Ground Attacks,Neutral B (Thunderjolt),18,51,--,10.0/7.0—5.0,-29/-30,18—47/48—77/78—101,"0.8 base recoil damage. Grounded has a life of 84 frames, aerial 100.",12/10—9,4/3—3,Projectile/Arc,--,,
