character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Piranha_plant,Ground Attacks,Jab 1,2,19,--,2.4,-13,2—3,Transitions to jab 2 on frame 5,10,3,--,16,,
Piranha_plant,Ground Attacks,Jab 2,2,20,--,2.2,-15,2—3,Transitions to jab 3 as early as frame 8 and rapid as early as frame 7,5,3,--,17,,
Piranha_plant,Ground Attacks,Jab 3,7,25,--,4.4,-13,7—8,--,--,10,5,17,,
Piranha_plant,Ground Attacks,Rapid Jab,6/10/14...,--,--,0.6,**,6/10/14...,--,4,5,--,--,,
Piranha_plant,Ground Attacks,Rapid Jab Finisher,7,40,--,3.4,-29,6—7,--,--,15,4,33,,
Piranha_plant,Ground Attacks,Forward Tilt 1,7,27,--,5.5,-14,7—8,Transitions to F-tilt 2 as early as frame 12,8,6,--,19,,
Piranha_plant,Ground Attacks,Forward Tilt 2,5,31,--,6.0,-20,5—6,--,9,6,--,25,,
Piranha_plant,Ground Attacks,Up Tilt,6,26,--,9.0/7.0,-11/-13,6—13,Head intangibility on frame 6-13,7/7,9/7,Head/Body,13,,
Piranha_plant,Ground Attacks,Down Tilt,9,26,--,6.0/7.0,-10/-10,9—11,--,6/7,6/7,Close/Far,15,,
Piranha_plant,Ground Attacks,Dash Attack,7,47,--,10.0/7.0,-28,7—9/10—14,--,8/7,12/9,Early/Late,33,,
Piranha_plant,Ground Attacks,Forward Smash,16,51,--,15.0/19.0,-25/-22,16—17,Head intangibility on frame 16-17. Charge hold is frame 5,10/13,10/13,Close/Far,34,,
Piranha_plant,Ground Attacks,Up Smash,12/16,51,--,3.0/12.0,-27,12—15/16—18,Head intangibility on frame 12-18. Charge hold is frame 6,5/10,3/8,--,33,,
Piranha_plant,Ground Attacks,Down Smash,10/14,43,--,12.0/14.0,-24,10—11/14—15,Charge hold is frame 5,9/10,8/10,--,28,,
Piranha_plant,Ground Attacks,Neutral Air,8/11/14/17/18,47,15,2.0/3.0,-13/-13,8—17/18—19,Autocancels on frame 1-4 and 40 onward,4/9,2/2,Multi/Final,28,,
