character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Pt_charizard,Ground Attacks,Jab 1,4,22,--,2.5,-14,4—5,Transitions to jab 2 as early as frame 7,7,4,--,17,,
Pt_charizard,Ground Attacks,Jab 2,5,25,--,2.5,-16,5—6,Transitions to jab 3 as early as frame 8,6,4,--,19,,
Pt_charizard,Ground Attacks,Jab 3,7,33,--,5.0,-20,7—8,--,9,6,--,25,,
Pt_charizard,Ground Attacks,Forward Tilt,12,37,--,7.0/11.0,-18/-15,12—13,--,7/8,7/10,Close/Far,24,,
Pt_charizard,Ground Attacks,Up Tilt,9,33,--,8.0,-16,9—12,--,7,8,--,21,,
Pt_charizard,Ground Attacks,Down Tilt,9,30,--,10.0,-11,9—10,--,10,10,--,20,,
Pt_charizard,Ground Attacks,Dash Attack,10,39,--,13.0/10.0,-12,10—12/13—20,--,9/8,17/14,Early/Late,19,,
Pt_charizard,Ground Attacks,Forward Smash,22,69,--,19.0/16.4,-36/-37,22/23—24,Invulnerable on frame 20-24. Charge hold is frame 15,15/10,11/10,Close/Far,45,,
Pt_charizard,Ground Attacks,Up Smash,6/14,46,--,5.0/11.0,-24,(6/7—9) / 14—19,Charge hold is frame 2,6/8,4/8,Hit 1(Ground Only/Late) / Hit 2,27,,
Pt_charizard,Ground Attacks,Down Smash,14,60,--,16.0,-35,14—16,Charge hold is frame 1,10,11,--,44,,
Pt_charizard,Ground Attacks,Neutral Air,8,39,10,9.0/12.0,-6/-5,8—20,Autocancels on frame 1-3 and 31 onward,7/9,4/5,Close/Far,19,,
Pt_charizard,Ground Attacks,Forward Air,8,45,19,12.0/13.0,-14/-14,8—9/10—12,Autocancels on frame 1-4 and 35 onward,9/9,5/5,Close/Far,33,,
Pt_charizard,Ground Attacks,Back Air,14,45,20,11.0/14.0/16.0,-16/-15/-14,14/15—16,Autocancels on frame 1-3 and 44 onward,8/10/10,4/5/6,Close/far/farther,29,,
Pt_charizard,Ground Attacks,Up Air,12,45,13,13.0,-8,12—15,Head intangibility on frame 11-15. Autocancels on frame 1-3 and 38 onward,9,5,--,30,,
Pt_charizard,Ground Attacks,Down Air,18,51,21,14.0/8.0,-16/-17,18—21/22—25,Autocancels on frame 1-5 and 42 onward,10/7,5/4,Early/Late,26,,
Pt_charizard,Ground Attacks,Neutral B (Flamethrower),19/26/33/40,70,--,2.0/1.0,-24,19—22/26—29/33—36/40—43,Startup and total frames are the minimum. Endlag is 27 from extended use,4/4,2/2,Close/Far,27,,
Pt_charizard,Ground Attacks,Side B (Flare Blitz),23,101,--,6.0/18.0,-52/-66,23—51,58 endlag on hit if nothing catches your fall first. Lands on 48 on level ground and can input a wakeup move on 73. Total frames is when you don't hit anything. Explosion is frames 2—4 after connecting. Damage based armor 15% (18% in 1v1) on frames 23—51.,6/15,-/6,--,50,,
Pt_charizard,Ground Attacks,Up B (Fly),9...,--,30,5.0/2.0/4.0,--,9—10/16—26(rehit: 3)/27—28,Super armor on frame 4-15,6/4/5,6/3/5,--,--,,
Pt_charizard,Ground Attacks,Down B (Pokemon Change),--,39,--,--,--,**,Invulnerable on frame 1-25. ~140 frame period before you can change again.,--,--,--,--,,
Pt_charizard,Ground Attacks,Grab,8,39,--,--,,8—10,--,,,,29,,
Pt_charizard,Ground Attacks,Dash Grab,11,45,--,--,,11—13,--,,,,32,,
Pt_charizard,Ground Attacks,Pivot Grab,12,42,--,--,,12—14,--,,,,28,,
Pt_charizard,Ground Attacks,Pummel,2,21,--,1.6,,,Total frames includes 14 frames of hitlag,,,,,,
