character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Pt_ivysaur,Ground Attacks,Jab 1,7,27,--,2.0,-17,7—8,Transitions to Jab 2 as early as frame 10.,6,3,--,19,,
Pt_ivysaur,Ground Attacks,Jab 2,5,27,--,2.0,-19,5—6,Transitions to Rapid jab as early as frame 10.,4,3,--,21,,
Pt_ivysaur,Ground Attacks,Rapid Jab,4/7/10...,--,--,0.5,--,4/7/10...,--,4,3,--,--,,
Pt_ivysaur,Ground Attacks,Rapid Jab Finisher,4,39,--,2.0,-32,4—5,--,9,3,--,34,,
Pt_ivysaur,Ground Attacks,Forward Tilt,10/12/14/16/18/20/22,45,--,1.5/2.0,-20,10/12/14/16/18/20/22,--,4/10,3/3,Multi/Final,23,,
Pt_ivysaur,Ground Attacks,Up Tilt,7,32,--,7.0,-18,7—13,--,7,7,--,19,,
Pt_ivysaur,Ground Attacks,Down Tilt,4,31,--,5.5,-21,4—6,--,6,6,--,25,,
Pt_ivysaur,Ground Attacks,Dash Attack,4,43,--,12.0/10.0,-27,4—11/12—19,--,9/8,11/10,Early/Late,24,,
Pt_ivysaur,Ground Attacks,Forward Smash,15,59,--,16.0/14.0,-33,15—18/19—20,Charge hold is frame 9,10/10,11/10,Early/Late,39,,
Pt_ivysaur,Ground Attacks,Up Smash,26,59,--,17.0,-21,26—29,Charge hold is frame 7,11,11,--,30,,
Pt_ivysaur,Ground Attacks,Down Smash,13,45,--,8.0/10.0/12.0,-26/-25/-24,13—14,Charge hold is frame 6,7/8/9,6/7/8,close/far/farther,31,,
Pt_ivysaur,Ground Attacks,Neutral Air,7/10/13/16/19/22/25/28,41,16,1.0/2.0,-14/-14,7—26/28—29,Autocancels on frame 1-3 and 41 onward,4/9,2/2,Multi/Final,12,,
Pt_ivysaur,Ground Attacks,Forward Air,14,48,13,12.0,-8,14—18,Autocancels on frame 1-2 and 39 onward,9,5,--,30,,
Pt_ivysaur,Ground Attacks,Back Air,7/13,43,7,3.0/6.0,-5/-4,7—9/13—15,Autocancels on frame 1-6 and 43 onward,5/7,2/3,--,28,,
Pt_ivysaur,Ground Attacks,Up Air,12,51,11,15.0,-6,12—13,Autocancels on frame 41 onward,10,5,--,38,,
Pt_ivysaur,Ground Attacks,Down Air,11,63,13,10.0,-9,11—12,Autocancels on frame 1-2 and 52 onward,8,4,--,51,,
Pt_ivysaur,Ground Attacks,Neutral B (Bullet Seed),7,44 ground (after last seed) / 31 air (after last seed),--,3.0/1.5/1.3/3.0,-34,"7, 13—20, 19—26, 25—32, 31—38...","Startup is initial launcher and then the timing each bullet spawns, not necessarily when they impact. Numbers refer to minimum use. Each",5/4/4/5,4/2/2/2,First/multi/later multi/final,6,,
Pt_ivysaur,Ground Attacks,Side B (Razor Leaf),24,48,--,8.0/6.0/4.0,-14,24-34/35-53/54-73,--,7/6/5,3/3/2,Early/late/later,--,,
Pt_ivysaur,Ground Attacks,Up B (Vinewhip),15,47,--,11.0/13.0,-22/-20,15—17,Tethers on frame 13. Does not induce special fall.,8/9,10/12,Close/Far,30,,
Pt_ivysaur,Ground Attacks,Down B (Pokemon Change),--,39,--,--,--,**,Invulnerable on frame 1-25. ~140 frame period before you can change again.,--,--,--,--,,
Pt_ivysaur,Ground Attacks,Grab,13,42,--,--,,13—14,--,,,,28,,
Pt_ivysaur,Ground Attacks,Dash Grab,13,48,--,--,,13—14,--,,,,34,,
Pt_ivysaur,Ground Attacks,Pivot Grab,13,44,--,--,,13—14,--,,,,30,,
Pt_ivysaur,Ground Attacks,Pummel,1,19,--,1.3,,,Total frames includes 13 frames of hitlag,,,,,,
Pt_ivysaur,Ground Attacks,Forward Throw,16/17,37,--,5.0/5.0,,,--,,,,,,
Pt_ivysaur,Ground Attacks,Backward Throw,20,35,--,12.0,,,--,,,,,,
Pt_ivysaur,Ground Attacks,Up Throw,20/21,39,--,4.0/5.0,,,--,,,,,,
Pt_ivysaur,Ground Attacks,Down Throw,19,34,--,7.0,,,--,,,,,,
Pt_ivysaur,Ground Attacks,Spot Dodge,,21/26,--,,,,Intangible on frame 3-17,,,,,,
Pt_ivysaur,Ground Attacks,Forward Roll,,30,--,,,,Intangible on frame 4-15,,,,,,
Pt_ivysaur,Ground Attacks,Backward Roll,,35,--,,,,Intangible on frame 5-16,,,,,,
Pt_ivysaur,Ground Attacks,Neutral Air Dodge,,56,10,,,,Intangible on frame 3-29,,,,,,
Pt_ivysaur,Ground Attacks,"Air Dodge, Down",,76,11-19,,,,Intangible on frame 3-21,,,,,,
Pt_ivysaur,Ground Attacks,"Air Dodge, Diagonally Down",,84,11-19,,,,Intangible on frame 3-21,,,,,,
Pt_ivysaur,Ground Attacks,"Air Dodge, Left/Right",,93,11-19,,,,Intangible on frame 3-21,,,,,,
Pt_ivysaur,Ground Attacks,"Air Dodge, Diagonally Up",,110,11-19,,,,Intangible on frame 3-21,,,,,,
Pt_ivysaur,Ground Attacks,"Air Dodge, Up",,124,11-19,,,,Intangible on frame 3-21,,,,,,
Pt_ivysaur,Ground Attacks,Stats,,,,,,,,,,,,,
Pt_ivysaur,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Pt_ivysaur,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Pt_ivysaur,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Pt_ivysaur,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Pt_ivysaur,Aerial Attacks,Neutral Air,7/10/13/16/19/22/25/28,41,16,1.0/2.0,-14/-14,7—26/28—29,Autocancels on frame 1-3 and 41 onward,4/9,2/2,Multi/Final,12,,
Pt_ivysaur,Aerial Attacks,Forward Air,14,48,13,12.0,-8,14—18,Autocancels on frame 1-2 and 39 onward,9,5,--,30,,
Pt_ivysaur,Aerial Attacks,Back Air,7/13,43,7,3.0/6.0,-5/-4,7—9/13—15,Autocancels on frame 1-6 and 43 onward,5/7,2/3,--,28,,
Pt_ivysaur,Aerial Attacks,Up Air,12,51,11,15.0,-6,12—13,Autocancels on frame 41 onward,10,5,--,38,,
Pt_ivysaur,Aerial Attacks,Down Air,11,63,13,10.0,-9,11—12,Autocancels on frame 1-2 and 52 onward,8,4,--,51,,
