character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Pt_squirtle,Ground Attacks,Jab 1,2,16,--,2.0,-11,2—3,Transitions to Jab 2 as early as frame 5,7,3,--,13,,
Pt_squirtle,Ground Attacks,Jab 2,4,24,--,1.5,-17,4—5,Transitions to Jab 3 as early as frame 10,5,3,--,19,,
Pt_squirtle,Ground Attacks,Jab 3,5,31,--,4.0,-21,5—6,--,11,5,--,25,,
Pt_squirtle,Ground Attacks,Forward Tilt,5,17,--,5.0,-6,5—6,--,6,6,--,11,,
Pt_squirtle,Ground Attacks,Up Tilt,5,19,--,5.0,-8,5—6,--,6,6,--,13,,
Pt_squirtle,Ground Attacks,Down Tilt,8,29,--,9.0,-12,8—13,--,7,9,--,16,,
Pt_squirtle,Ground Attacks,Dash Attack,8,35,--,8.0/7.0,-16,8—11/12—17,--,7/7,11/7,Early/Late,18,,
Pt_squirtle,Ground Attacks,Forward Smash,20,49,--,15.0,-19,20—21,Charge hold is frame 5,12,10,--,28,,
Pt_squirtle,Ground Attacks,Up Smash,19/21,65,--,3.0/13.0/10.0,-35,19/21—22/(22—23/24—25),Charge hold is frame 5,5/9/9,3/9/8,First/Early/Late,40,,
Pt_squirtle,Ground Attacks,Down Smash,18,41,--,13.0,-13,18—19/24—25,Charge hold is frame 6,9,9,--,16,,
Pt_squirtle,Ground Attacks,Neutral Air,4,41,8,10.0/7.0,-4/-5,4—6/7—26,Autocancels on frame 1-3 and 35 onward,8/7,4/3,Early/Late,15,,
Pt_squirtle,Ground Attacks,Forward Air,5,35,6,7.0/6.0,-3/-3,5—6/7—14,Autocancels on frame 1-4 and 35 onward,7/6,3/3,Early/Late,21,,
Pt_squirtle,Ground Attacks,Back Air,5...,35,18,1.0/6.0/2.0,-15,5—14/15—16 (rehit: 2),Landing hit on frame 1. Autocancels on frame 1-4 and 22 onward,4/7/9,2/3/3,Multi/Final/Landing,19,,
Pt_squirtle,Ground Attacks,Up Air,5,29,6,7.0,-3,5—9,Autocancels on frame 20 onward,7,3,--,20,,
Pt_squirtle,Ground Attacks,Down Air,6...,44,16,1.5/4.0,-14/-13,6—20/22 (rehit: 3),Autocancels on frame 1-5 and 35 onward,4/11,2/3,Multi/Final,22,,
Pt_squirtle,Ground Attacks,Neutral B (Watergun),26,63,--,--,--,24—**,"From a charging state, startup is 7 and total frames is 44. Takes 64 frames to fully charge.",--,--,--,--,,
