character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Pyra,Ground Attacks,Jab 1,3,21,--,3.0,-14,3—5,transitions to jab 2 on frame 7,6,4,--,16,,
Pyra,Ground Attacks,Jab 2,5,31,--,2.0,-23,5—6,Transitions to jab 3 on frame 14 or Rapid on 13,5,3,--,25,,
Pyra,Ground Attacks,Jab 3,5,35,--,5.0,-24,5—7,--,9,6,--,28,,
Pyra,Ground Attacks,Rapid Jab,9/13/17...,--,--,0.6,--,9/13/17...,--,4,4,--,--,,
Pyra,Ground Attacks,Rapid Jab Finisher,6,37,--,5.0,-25,6—7,--,11,6,--,30,,
Pyra,Ground Attacks,Forward Tilt,12,37,--,11.5,-10/-9,12—13,--,10,15,Early/Late,24,,
Pyra,Ground Attacks,Up Tilt,11,39,--,9.5,-19,11—16,--,10,9,--,23,,
Pyra,Ground Attacks,Down Tilt,9,26,--,6.0/8.0,-11/-9,9—11,--,8/9,6/8,Close/Far,15,,
Pyra,Ground Attacks,Dash Attack,17,52,--,10.5/12.5,-18,17—18,--,*/10,*/17,Closest/Far,34,,
Pyra,Ground Attacks,Forward Smash,20,67,--,20.0,-34,20—23,charge hold on frame 5,16,13,--,44,,
Pyra,Ground Attacks,Up Smash,15/17,66,--,3.5/13.5/12.0,-47/-40,15—16/17—23/24—33,Charge hold is frame 6,5/10,4/9,hit 1/early hit 2/late hit 2,33,,
Pyra,Ground Attacks,Down Smash,12/18,47,--,11.0/13.5/8.0/10.0,-26/-28/-20/-22,12—14/18—20,"Charge hold on frame 2. Blade and leg can both hit the same shield. Third and fourth advantage assume this scenario, first and second are single, far hits.",10/11/9/10,8/9/6/7,blade close/far / leg close/far,27,,
Pyra,Ground Attacks,Neutral Air,11,56,15,10.0/8.0,-11/-11,11—16(17—22),Autocancels on frame 1-10 and 41 onward,10/9,4/4,Early/Late,34,,
Pyra,Ground Attacks,Forward Air,11,48,14,12.0,-9,11—14,autocancels on frame 1-2 and 46 onward,10,5,--,34,,
Pyra,Ground Attacks,Back Air,16,49,14,14.0/12.0,-9,16—17(18),autocancels on frame 1-5 and 38 onward,11,5,Early/Late,31,,
Pyra,Ground Attacks,Up Air,13,57,8,10.0,-4,13—17,autocancels on frame 25 onward,10,4,--,40,,
Pyra,Ground Attacks,Down Air,17,65,14,12.0/14.0/12.0,-9/-9,17/18/19—20,autocancels on frame 1-4 and 34 onward,10/11,5/5,Early/Clean/Late,45,,
Pyra,Ground Attacks,Neutral B (Flame Nova),13/27/33—56/68/78/87/94,58—117FN1) 49 from releaseFN2) 61 from releaseFN3) 69 from release,--,FN1) 3.0/7.0FN2) 4.0/10.0FN3) 5.0/13.0,-18 — -11,...FN1) 4—6/12—14/18—20/26—32FN2) 7—9/14—16/20—22/25—27/30—32/38—44FN3) 7—9/13—15/19—21/24—26/29—31/34—36/38—40/45—52,--,5/7 — 6/10,4/7 — 6/12,multihit/final,6,,
Pyra,Ground Attacks,Side B (Blazing End),14/16...74,"55 ground, 50 air",--,8.0/1.5/0.8/10.0,**,**,"Pyra has a hitbox on startup from 14—15 before throwing the sword. Sword catch animation is 14 frames, but can be avoided by dodging, in shield, etc. The sword exerperiences its own hitlag at irregular intervals. There are technically as many startup values on the way to the final hit as there are ways to hit somebody. If the blade hits nothing, the final hit is always on 74, and begins returning on 101.",*/4/4/10,*/2/2/4,wrist/early multi/late multi/final,--,,
