character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Richter,Ground Attacks,Jab 1,5,29,--,2.0,-21,5,Transitions to Jab 2 on frame 11. Transitions to Whip dangle from 9.,7,3,--,24,,
Richter,Ground Attacks,Jab 2,3,29,--,2.0,-23,3—4,Transitions to rapid jab on frame 10.,5,3,--,25,,
Richter,Ground Attacks,Rapid Jab,9/12/15...,--,--,0.5,--,**,--,4,--,--,--,,
Richter,Ground Attacks,Rapid Jab Finisher,3,44,--,2.5,-37,**,--,10,4,--,--,,
Richter,Ground Attacks,Whip Dangle,--,--,--,1.0/1.5,**,**,Can initiate from Jab and F-Tilt. 19 lag from putting it away.,0/0,3/3,Chain/Ball,--,,
Richter,Ground Attacks,Forward Tilt,12,30,--,10.0/12.0/2.0,-8/-7,12—13,--,8/9,10/11,Chain/Ball,17,,
Richter,Ground Attacks,Up Tilt,10,37,--,10.0/2.0,-17,10—22,--,8,10,Ball/Chain,15,,
Richter,Ground Attacks,Down Tilt 1,7,44,--,5.0,-31,7—23,Can cancel hitlag from first hit with second.,6,6,--,21,,
Richter,Ground Attacks,Down Tilt 2,8,57/43,--,7.0/3.5,-42/-28,8—19/20—28,Total frames is 57 on level ground. 43 if you go over an edge.,8/5,7/4,Early/Late,29,,
Richter,Ground Attacks,Dash Attack,10/13/16/19/22/24,54,--,2.0/3.5,-26,10/13/16/19/22/24,--,4/5,-/4,--,30,,
Richter,Ground Attacks,Forward Smash,24,62,--,14.0/16.0/18.0,-28/-26,24—25,Charge hold is frame 5,11/13,10/12,Chain/Ball,37,,
Richter,Ground Attacks,Up Smash,16,53,--,16.0/14.0,-27/-26,16—18,Charge hold is frame 2,10/10,10/11,Ball/Chain,35,,
Richter,Ground Attacks,Down Smash,14/20,55,--,12.0/14.0/16.0,-33/-30/-27/-24,14—15/20—21,Charge hold is frame 2,9/10,8/11,Chain/Ball,34,,
Richter,Ground Attacks,Neutral Air,8...,42,14,1.0/4.0,-12/-11,8—9/11—12/14—15/17—18/20—21/23—24/26—27,Autocancels on frame 1-6 and 36 onward,4/5,2/3,Multi/Final,15,,
