character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Ridley,Ground Attacks,Jab 1,4,23,--,2.0,-16,4—5,Transitions to Jab 2 on frame 7,7,3,--,18,,
Ridley,Ground Attacks,Jab 2,5,26,--,1.5,-18,5—6,Transitions to Jab 3 on frame 10. Rapid on frame 9.,5,3,--,20,,
Ridley,Ground Attacks,Jab 3,4,35,--,5.0,-25,4—5,--,11,6,--,30,,
Ridley,Ground Attacks,Rapid Jab,4/7/10...,--,--,0.7,**,**,--,4,--,--,--,,
Ridley,Ground Attacks,Rapid Jab Finisher,4,45,--,2.0,-38,4—5,--,9,3,--,40,,
Ridley,Ground Attacks,Forward Tilt,10,32,--,10.0/13.0,-12/-10,10—11,--,8/11,10/12,Close/Far,21,,
Ridley,Ground Attacks,Up Tilt,8,29,--,7.0/9.0,-14/-12,8—12,Head and arm intangibility on frame 8-9. Wing intangibility on frame 8-12,7/7,7/9,--,17,,
Ridley,Ground Attacks,Down Tilt,9,30,--,6.0/9.0,-15/-12,9—11,--,6/7,6/9,Close/Far,19,,
Ridley,Ground Attacks,Dash Attack,12,39,--,12.0,-16,12—13,--,10,11,--,26,,
Ridley,Ground Attacks,Forward Smash,18,53,--,20.0,-22,18—21,Charge hold is frame 5,11,13,--,32,,
Ridley,Ground Attacks,Up Smash,12,47,--,17.0,-24,12—17,Leg intangibility on frame 12-17. Charge hold is frame 6,10,11,--,30,,
Ridley,Ground Attacks,Down Smash,24,57,--,16.0,-22,24—27,Charge hold is frame 2,10,11,--,30,,
Ridley,Ground Attacks,Neutral Air,8,39,12,9.0/12.0/(5.0/8.0,-8/-7/-9,8—14/15—20,Autocancels on frame 1-2 and 28 onward,7/10/6,4/5/3,Early Tail/Early Tip/Late Tail/Late Tip,19,,
Ridley,Ground Attacks,Forward Air,10/13/16,41,16,(3.0/5.0)/(5.0/7.0),(-14/-13)/(-13/-13),10—11/13—14/16—17,Autocancels on frame 1-2 and 43 onward,(6/6)/(6/8),(2/3)/(3/3),(Multi close/far)/(Final close/far),24,,
Ridley,Ground Attacks,Back Air,10,43,17,16.0,-12,10—12,Autocancels on frame 38 onward,10,5,--,31,,
Ridley,Ground Attacks,Up Air,11,39,14,14.0/14.0,-9/-9,11—13,Autocancels on frame 1-3 and 35 onward,9/13,5/5,Far/Close,26,,
Ridley,Ground Attacks,Down Air,11,55,32,14.0/12.0,-27/-27,11—18/19—40,Autocancels on frame 1-3 and 50 onward,11/9,5/5,Early Meteor/Late,15,,
Ridley,Ground Attacks,Neutral B (Plasma Breath),29 | 56/65/73/84/92,55 | 102,--,4.5/3.5 | 5.67/4.41,-23 // -1,29—58/59—78 | ***,"If Ridley is hit in the mouth while charging on frame 16-45, he recoils in a 52 frame animation.",5/5 // 6/5,3/2 // 3/3,Early / Late,--,,
Ridley,Ground Attacks,Side B (Space Pirate Rush),22,78,--,--,**,22—34,--,**,**,--,44,,
Ridley,Ground Attacks,"Side B (Space Pirate Rush, Air)",22,60,--,--,**,22—34,"Landing hitbox on frame 1 after a grab, then transitions to ground drag",**,**,--,26,,
Ridley,Ground Attacks,"Side B (Space Pirate Rush, Success)",10/24/28/32...,60,--,4.0/2.0,**,**,Drag begins on 24. Deals damage every four frames.,**,**,Initial / Drag,--,,
Ridley,Ground Attacks,"Space Pirate Rush, Manual/Ledge/Air Release",2/7/2,41/42/41,--,7.0/7.0/7.0,**,**,Can manually release on 48 on the ground. 43 in the air.,**,**,Ground/Ledge/Air,--,,
Ridley,Ground Attacks,Up B (Wing Blitz),34/36/37,**,32/35,18.0 / 16.0 / 15.0 / 5.0,-28,34—57/36—55/37—59,Second landing lag is for a dive directly into the ground. Wing intangibility on frame 34-57 when traveling up. 36-59 when traveling horizontally. Damage dependent on direction travelled. Landing hit on frame 1. Advantage is for that. Grabs ledges on frame 35/37/38.,10/10/10/6,16/14/14/6,Up/horizontal/down/landing,--,,
Ridley,Ground Attacks,Down B (Skewer),30,96/67,--,5.0 | 45.0 / 10.0,-29,30—31,Total frames is 67 when you fail to skewer. Ridley does not suffer hitlag from a grazing hit.,6,2,graze | skewer,65,,
Ridley,Ground Attacks,Grab,8,34,--,--,,8—10,--,,,,24,,
Ridley,Ground Attacks,Dash Grab,11,42,--,--,,11—13,--,,,,29,,
Ridley,Ground Attacks,Pivot Grab,12,39,--,--,,12—14,--,,,,25,,
Ridley,Ground Attacks,Pummel,**,**,**,**,,,**,,,,,,
Ridley,Ground Attacks,Forward Throw,13,37,--,**,,,--,,,,,,
Ridley,Ground Attacks,Backward Throw,18,45,--,**,,,--,,,,,,
Ridley,Ground Attacks,Up Throw,14/19,43,--,**,,,--,,,,,,
Ridley,Ground Attacks,Down Throw,25,35,--,**,,,--,,,,,,
Ridley,Ground Attacks,Spot Dodge,,23/28,--,,,,Intangible on frame 3-18,,,,,,
Ridley,Ground Attacks,Forward Roll,,32,--,,,,Intangible on frame 4-16,,,,,,
Ridley,Ground Attacks,Backward Roll,,37,--,,,,Intangible on frame 5-17,,,,,,
Ridley,Ground Attacks,Neutral Air Dodge,,46,10,,,,Intangible on frame 3-31,,,,,,
Ridley,Ground Attacks,"Air Dodge, Down",,64,11-19,,,,Intangible on frame 3-22,,,,,,
Ridley,Ground Attacks,"Air Dodge, Diagonally Down",,73,11-19,,,,Intangible on frame 3-22,,,,,,
Ridley,Ground Attacks,"Air Dodge, Left/Right",,78,11-19,,,,Intangible on frame 3-22,,,,,,
Ridley,Ground Attacks,"Air Dodge, Diagonally Up",,90,11-19,,,,Intangible on frame 3-22,,,,,,
Ridley,Ground Attacks,"Air Dodge, Up",,103,11-19,,,,Intangible on frame 3-22,,,,,,
Ridley,Ground Attacks,Stats,,,,,,,,,,,,,
Ridley,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Ridley,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Ridley,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Ridley,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Ridley,Aerial Attacks,Neutral Air,8,39,12,9.0/12.0/(5.0/8.0,-8/-7/-9,8—14/15—20,Autocancels on frame 1-2 and 28 onward,7/10/6,4/5/3,Early Tail/Early Tip/Late Tail/Late Tip,19,,
Ridley,Aerial Attacks,Forward Air,10/13/16,41,16,(3.0/5.0)/(5.0/7.0),(-14/-13)/(-13/-13),10—11/13—14/16—17,Autocancels on frame 1-2 and 43 onward,(6/6)/(6/8),(2/3)/(3/3),(Multi close/far)/(Final close/far),24,,
Ridley,Aerial Attacks,Back Air,10,43,17,16.0,-12,10—12,Autocancels on frame 38 onward,10,5,--,31,,
Ridley,Aerial Attacks,Up Air,11,39,14,14.0/14.0,-9/-9,11—13,Autocancels on frame 1-3 and 35 onward,9/13,5/5,Far/Close,26,,
