character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Rob,Ground Attacks,Jab 1,3,20,--,3.0,-13,3—4,Transitions to jab 2 as early as frame 11,5,4,--,16,,
Rob,Ground Attacks,Jab 2,3,20,--,3.0,-13,3—4,--,10,4,--,16,,
Rob,Ground Attacks,Forward Tilt,7,33,--,7.0/8.0/10.0,-18,7—9,--,7,8,Close/Mid/Far,24,,
Rob,Ground Attacks,Up Tilt,4/6,26,--,3.0/5.0/6.0,-14,4—5/6—7,--,5/6,4/6,Hit 1/Hit 2 Far/Hit 3 Close,19,,
Rob,Ground Attacks,Down Tilt,3,14,--,5.0,-5,3,--,6,6,--,11,,
Rob,Ground Attacks,Dash Attack,7,31,--,7.0,-17,7—8,--,7,7,--,23,,
Rob,Ground Attacks,Forward Smash,16,54,--,15.0/11.5/6.0,-28/-30/-33,16—17,Charge hold is frame 6,15/13/9,10/8/5,Close/Far/Farther,37,,
Rob,Ground Attacks,Up Smash,10/14,48,--,3.0/14.0/13.0,-35/-24,10—11/14—18,Charge hold is frame 7,5/10,3/10,Hit 1/Hit 2 Close/Hit 2 Far,30,,
Rob,Ground Attacks,Down Smash,7/11/16,45,--,3.5/3.0/5.0,-25,7—8/11—12/16,Charge hold is frame 3,5/12,3/4,Multi Close/Multi Far/Final,29,,
Rob,Ground Attacks,Neutral Air,14,47,7,7.5/9.5,-4/-3,14—32,Autocancels on frame 33 onward,7/8,3/4,Close/Final,15,,
Rob,Ground Attacks,Forward Air,6,35,9,7.0,-6,6—8,Autocancels on frame 25 onward,7,3,--,27,,
Rob,Ground Attacks,Back Air,19,52,13,15.0/13.0/9.0/7.5,-8/-9,19—23/24—32,Autocancels on frame 46 onward,12/11/9,5/5/4,Early Close/Early Far/Late Close/Late Far,20,,
Rob,Ground Attacks,Up Air,7/9/13/17/23,51,13,1.5/4.0,-11/-10,7/9/13/17/23—24,Autocancels on frame 40 onward,4/11,2/3,Multi/Final,27,,
Rob,Ground Attacks,Down Air,20,69,12,(12.0/11.0/11.0/6.0)/(8.0/11.0/8.0/6.0),-44/-45/-46,20—21/20—26/22—26,Autocancels on frame 45 onward. Advantage uses Total Frames,9/8/6,5/4/3,Early/Late (Close/Mid (Aerial)/Mid (Grounded)/Far),43,,
Rob,Ground Attacks,Neutral B (Robo Beam),25,49,--,"7.0/4.5/11.5, 7.0/15.0/22.0","-17/-16/-17, -17/-6/-10","25—27 (melee), 25—43 (small beam), 25—66 (large beam)",Melee attack and projectile generate on same frame,"7/5/7, 7/13/13","7/3/7, 7/5/14","Small Beam Close/Far/farther, Large Beam Melee/beam/both",--,,
Rob,Ground Attacks,Side B (Arm Rotor),13...,85,--,1.5/3.0,-37,13/14—21/22—37/44,Multihits have no hitlag but do have shieldlag. Reflects on frame 13-35. Mashing extends the duration of the multihits.,4/12,3/4,Multi/Final,41,,
Rob,Ground Attacks,"Side B (Arm Rotor, Mashing)",13/18/23/28/33/38/ 43/48/53/58/66,107,--,1.5/3.0,-37,--,Multihits have no hitlag but do have shieldlag. Reflects on frame 13-60,4/12,3/4,Multi/Final,--,,
Rob,Ground Attacks,Up B (Robo Burner),--,--,--,--,--,--,Invulnerable on frame 2-4 on the ground. Ungrabbable on frames 1-24. Can act on frame 25. Fuel lasts up to 143 frames.,--,--,--,--,,
Rob,Ground Attacks,Down B (Gyro),"3(+6), 9","36, 42",--,"3.6—10.7, 10.7","-26 to -21, -21",--,3 startup from charging state. 6 frames to enter charging state. Reaches full charge on frame 98. Damage depends on current item velocity.,"5—8, 8","2—4, 4","Normal, Full Charge",--,,
Rob,Ground Attacks,Grab,6,37,--,--,,6—7,--,,,,30,,
Rob,Ground Attacks,Dash Grab,9,45,--,--,,9—10,--,,,,35,,
Rob,Ground Attacks,Pivot Grab,10,40,--,--,,10—11,--,,,,29,,
Rob,Ground Attacks,Pummel,1,18,**,1.3,,,Total frames includes 13 frames of hitlag,,,,,,
Rob,Ground Attacks,Forward Throw,11,23,--,8.0,,,--,,,,,,
Rob,Ground Attacks,Backward Throw,12,26,--,10.0,,,--,,,,,,
Rob,Ground Attacks,Up Throw,58,81,--,12.0,,,--,,,,,,
Rob,Ground Attacks,Down Throw,50,75,--,5.0,,,Buries,,,,,,
Rob,Ground Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17,,,,,,
Rob,Ground Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15,,,,,,
Rob,Ground Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16,,,,,,
Rob,Ground Attacks,Neutral Air Dodge,,50,10,,,,Intangible on frame 3-27,,,,,,
Rob,Ground Attacks,"Air Dodge, Down",,68,11-19,,,,Intangible on frame 3-21,,,,,,
Rob,Ground Attacks,"Air Dodge, Diagonally Down",,75,11-19,,,,Intangible on frame 3-21,,,,,,
Rob,Ground Attacks,"Air Dodge, Left/Right",,83,11-19,,,,Intangible on frame 3-21,,,,,,
Rob,Ground Attacks,"Air Dodge, Diagonally Up",,100,11-19,,,,Intangible on frame 3-21,,,,,,
Rob,Ground Attacks,"Air Dodge, Up",,111,11-19,,,,Intangible on frame 3-21,,,,,,
Rob,Ground Attacks,Stats,,,,,,,,,,,,,
Rob,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Rob,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Rob,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Rob,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Rob,Aerial Attacks,Neutral Air,14,47,7,7.5/9.5,-4/-3,14—32,Autocancels on frame 33 onward,7/8,3/4,Close/Final,15,,
Rob,Aerial Attacks,Forward Air,6,35,9,7.0,-6,6—8,Autocancels on frame 25 onward,7,3,--,27,,
Rob,Aerial Attacks,Back Air,19,52,13,15.0/13.0/9.0/7.5,-8/-9,19—23/24—32,Autocancels on frame 46 onward,12/11/9,5/5/4,Early Close/Early Far/Late Close/Late Far,20,,
Rob,Aerial Attacks,Up Air,7/9/13/17/23,51,13,1.5/4.0,-11/-10,7/9/13/17/23—24,Autocancels on frame 40 onward,4/11,2/3,Multi/Final,27,,
Rob,Aerial Attacks,Down Air,20,69,12,(12.0/11.0/11.0/6.0)/(8.0/11.0/8.0/6.0),-44/-45/-46,20—21/20—26/22—26,Autocancels on frame 45 onward. Advantage uses Total Frames,9/8/6,5/4/3,Early/Late (Close/Mid (Aerial)/Mid (Grounded)/Far),43,,
Rob,Aerial Attacks,Neutral B (Robo Beam),25,49,--,"7.0/4.5/11.5, 7.0/15.0/22.0","-17/-16/-17, -17/-6/-10","25—27 (melee), 25—43 (small beam), 25—66 (large beam)",Melee attack and projectile generate on same frame,"7/5/7, 7/13/13","7/3/7, 7/5/14","Small Beam Close/Far/farther, Large Beam Melee/beam/both",--,,
Rob,Aerial Attacks,Side B (Arm Rotor),13...,85,--,1.5/3.0,-37,13/14—21/22—37/44,Multihits have no hitlag but do have shieldlag. Reflects on frame 13-35. Mashing extends the duration of the multihits.,4/12,3/4,Multi/Final,41,,
Rob,Aerial Attacks,"Side B (Arm Rotor, Mashing)",13/18/23/28/33/38/ 43/48/53/58/66,107,--,1.5/3.0,-37,--,Multihits have no hitlag but do have shieldlag. Reflects on frame 13-60,4/12,3/4,Multi/Final,--,,
Rob,Aerial Attacks,Up B (Robo Burner),--,--,--,--,--,--,Invulnerable on frame 2-4 on the ground. Ungrabbable on frames 1-24. Can act on frame 25. Fuel lasts up to 143 frames.,--,--,--,--,,
Rob,Aerial Attacks,Down B (Gyro),"3(+6), 9","36, 42",--,"3.6—10.7, 10.7","-26 to -21, -21",--,3 startup from charging state. 6 frames to enter charging state. Reaches full charge on frame 98. Damage depends on current item velocity.,"5—8, 8","2—4, 4","Normal, Full Charge",--,,
Rob,Aerial Attacks,Grab,6,37,--,--,,6—7,--,,,,30,,
Rob,Aerial Attacks,Dash Grab,9,45,--,--,,9—10,--,,,,35,,
Rob,Aerial Attacks,Pivot Grab,10,40,--,--,,10—11,--,,,,29,,
Rob,Aerial Attacks,Pummel,1,18,**,1.3,,,Total frames includes 13 frames of hitlag,,,,,,
Rob,Aerial Attacks,Forward Throw,11,23,--,8.0,,,--,,,,,,
Rob,Aerial Attacks,Backward Throw,12,26,--,10.0,,,--,,,,,,
Rob,Aerial Attacks,Up Throw,58,81,--,12.0,,,--,,,,,,
Rob,Aerial Attacks,Down Throw,50,75,--,5.0,,,Buries,,,,,,
Rob,Aerial Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17,,,,,,
Rob,Aerial Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15,,,,,,
Rob,Aerial Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16,,,,,,
Rob,Aerial Attacks,Neutral Air Dodge,,50,10,,,,Intangible on frame 3-27,,,,,,
