character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Robin,Ground Attacks,Jab 1,4,31,--,2.0,-24,4—5,Transitions to jab 2 as early as frame 9,7,3,--,26,,
Robin,Ground Attacks,Jab 2,5,34,--,1.5,-26,5—6,Transitions to jab 3 as early as frame 9 or Rapid Jab on frame 8,5,3,--,28,,
Robin,Ground Attacks,Jab 3,6,35,--,5.0,-23,6—7,--,12,6,--,28,,
Robin,Ground Attacks,Rapid Jab,4/6/8...,--,--,0.9,--,**,--,4,3,--,--,,
Robin,Ground Attacks,Rapid Jab Finisher,5,47,--,2.0,-39,5—6,--,14,3,--,41,,
Robin,Ground Attacks,Forward Tilt,9,32,--,7.5,-15,9—10,--,7,8,--,22,,
Robin,Ground Attacks,Up Tilt,6,32,--,6.0,-20,6—14,--,6,6,--,18,,
Robin,Ground Attacks,Down Tilt,7,21,--,6.0,-8,7—8,--,6,6,--,13,,
Robin,Ground Attacks,Dash Attack,8,41,--,10.0/6.0,-23,8—10(11—18),--,9/7,10/6,Early/Late,23,,
Robin,Ground Attacks,Forward Smash,16,57,--,16.0/10.0/9.6,-30/-34,16—18(19—27),Charge hold is frame 6,15/12/8,11/7/7,Early/Late/Bronze,30,,
Robin,Ground Attacks,Up Smash,12,52,--,10.0/15.0/9.0,-33/-30/-33,"12,13—16(17—32)",Charge hold is frame 5,12/15/7,7/10/7,Close/Far/Bronze,20,,
Robin,Ground Attacks,Down Smash,16,56,--,15.0/12.0/8.0,-28/-34,16—17(19—22/23—28),Sparks generate on frame 20 for levin version. Charge hold is frame 3,15/13/7,-/8/6,Sword/spark/bronze,28,,
Robin,Ground Attacks,Neutral Air,7/20,47,11,11.5/6.9,-6/-8,7—10/20—23(24—28),Autocancels on frame 1-3 and 32 onward (bronze) or 40 (levin),13/7,5/3,Levin/Bronze,19,,
Robin,Ground Attacks,Forward Air,12,33,11,12.5/7.5,-6/-8,12—15(16—19),Autocancels on frame 1-3 and 27 onward (bronze) or 28 (levin),14/7,5/3,Levin/Bronze,14,,
Robin,Ground Attacks,Back Air,9,39,11,15.0/5.0/9.0,-6/-8/-7,9—10(11—16),Autocancels on frame 32 onward (either version),15/9/7,5/3/4,Early/late/Bronze,23,,
Robin,Ground Attacks,Up Air,10,45,11,13.0/5.0/7.8,-6/-8/-7,10—13(14—23),Autocancels on frame 1-4 and 27 onward (bronze) or 28 (levin),14/9/7,5/3/4,Early/Late/Bronze,22,,
Robin,Ground Attacks,Down Air,13,59,16,11.0/8.0/7.2/6.0,-12/-13,13—15(16—17/18—24),Autocancels on frame 48 onward (either version),16/11/7/6,4/4/3/3,"Levin Early/late, Bronze Early/late",35,,
Robin,Ground Attacks,Neutral B (Thunder/Elthunder/Arcthunder),8/8/8,32/38/38,--,5.5/11.0,-12/-13,8—22 / 8—49 / 8—79,"7 frames to enter charge state. 4 to cancel charge with shield 33 frames to reach Elthunder 73 to reach Arcthunder, 133 to reach Thoron. Empty Tome Thunder has 39 total frames.",9/13,3/4,Thunder/Elthunder/Arcthunder,--,,
Robin,Ground Attacks,Arcthunder (Vortex),1...,--,--,6.0/2.4/8.0,+0,1—16(rehit: 4)/17,--,-/-/11,-/-/3,First/Multi/Final,--,,
Robin,Ground Attacks,Thoron,23/27/31/35/39/43/47,74 (109 air),--,2.6/2.6,-20,23—92(Rehit: 4),--,-/7,-/2,Multi/Final,--,,
Robin,Ground Attacks,Side B (Arcfire),17,63,--,2.0/1.3/4.0,+13,17—76,"Pillar hits once every eight frames, ending on frame 50.",6/4/11,2/2/2,First/Multi/Final,2,,
Robin,Ground Attacks,Up B (Elwind),8/28,--,25,7.0/5.0,--,8(9—12/13—31) / 28—32(33—55),"Hitbox animation note: The blades are relative to Robin's position when he shoots them. In-game, Robin will move after each blade is shot, so they are not relative to each other at all. Visual is default angle. Empty Tome Elwind has 51 total frames.",7/6,3/3,Early/Late,--,,
Robin,Ground Attacks,Down B (Nosferatu),15,49,--,**,**,15—18,Invulnerable on frame 15-18. 31 frames animation for releasing victim.,--,--,--,31,,
Robin,Ground Attacks,Thrown Items,--,--,--,**,--,--,--,--,--,--,--,,
Robin,Ground Attacks,Grab,7,39,--,--,,7—8,--,,,,31,,
Robin,Ground Attacks,Dash Grab,10,47,--,--,,10—11,--,,,,36,,
Robin,Ground Attacks,Pivot Grab,11,42,--,--,,11—12,--,,,,30,,
Robin,Ground Attacks,Pummel,1,21,**,1.5,,,Total frames includes 15 frames of hitlag,,,,,,
Robin,Ground Attacks,Forward Throw,16,31,--,8.0,,,--,,,,,,
Robin,Ground Attacks,Backward Throw,25,44,--,11.0,,,--,,,,,,
Robin,Ground Attacks,Up Throw,15,47,--,9.0,,,--,,,,,,
Robin,Ground Attacks,Down Throw,16,37,--,6.0,,,--,,,,,,
Robin,Ground Attacks,Spot Dodge,,21/26,--,,,,Intangible on frame 3-17,,,,,,
Robin,Ground Attacks,Forward Roll,,30,--,,,,Intangible on frame 4-15,,,,,,
Robin,Ground Attacks,Backward Roll,,35,--,,,,Intangible on frame 5-16,,,,,,
Robin,Ground Attacks,Neutral Air Dodge,,51,10,,,,Intangible on frame 3-30,,,,,,
Robin,Ground Attacks,"Air Dodge, Down",,73,11-19,,,,Intangible on frame 3-21,,,,,,
Robin,Ground Attacks,"Air Dodge, Diagonally Down",,79,11-19,,,,Intangible on frame 3-21,,,,,,
Robin,Ground Attacks,"Air Dodge, Left/Right",,86,11-19,,,,Intangible on frame 3-21,,,,,,
Robin,Ground Attacks,"Air Dodge, Diagonally Up",,103,11-19,,,,Intangible on frame 3-21,,,,,,
Robin,Ground Attacks,"Air Dodge, Up",,114,11-19,,,,Intangible on frame 3-21,,,,,,
Robin,Ground Attacks,Stats,,,,,,,,,,,,,
Robin,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Robin,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Robin,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Robin,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Robin,Aerial Attacks,Neutral Air,7/20,47,11,11.5/6.9,-6/-8,7—10/20—23(24—28),Autocancels on frame 1-3 and 32 onward (bronze) or 40 (levin),13/7,5/3,Levin/Bronze,19,,
Robin,Aerial Attacks,Forward Air,12,33,11,12.5/7.5,-6/-8,12—15(16—19),Autocancels on frame 1-3 and 27 onward (bronze) or 28 (levin),14/7,5/3,Levin/Bronze,14,,
Robin,Aerial Attacks,Back Air,9,39,11,15.0/5.0/9.0,-6/-8/-7,9—10(11—16),Autocancels on frame 32 onward (either version),15/9/7,5/3/4,Early/late/Bronze,23,,
Robin,Aerial Attacks,Up Air,10,45,11,13.0/5.0/7.8,-6/-8/-7,10—13(14—23),Autocancels on frame 1-4 and 27 onward (bronze) or 28 (levin),14/9/7,5/3/4,Early/Late/Bronze,22,,
Robin,Aerial Attacks,Down Air,13,59,16,11.0/8.0/7.2/6.0,-12/-13,13—15(16—17/18—24),Autocancels on frame 48 onward (either version),16/11/7/6,4/4/3/3,"Levin Early/late, Bronze Early/late",35,,
Robin,Aerial Attacks,Neutral B (Thunder/Elthunder/Arcthunder),8/8/8,32/38/38,--,5.5/11.0,-12/-13,8—22 / 8—49 / 8—79,"7 frames to enter charge state. 4 to cancel charge with shield 33 frames to reach Elthunder 73 to reach Arcthunder, 133 to reach Thoron. Empty Tome Thunder has 39 total frames.",9/13,3/4,Thunder/Elthunder/Arcthunder,--,,
Robin,Aerial Attacks,Arcthunder (Vortex),1...,--,--,6.0/2.4/8.0,+0,1—16(rehit: 4)/17,--,-/-/11,-/-/3,First/Multi/Final,--,,
Robin,Aerial Attacks,Thoron,23/27/31/35/39/43/47,74 (109 air),--,2.6/2.6,-20,23—92(Rehit: 4),--,-/7,-/2,Multi/Final,--,,
Robin,Aerial Attacks,Side B (Arcfire),17,63,--,2.0/1.3/4.0,+13,17—76,"Pillar hits once every eight frames, ending on frame 50.",6/4/11,2/2/2,First/Multi/Final,2,,
Robin,Aerial Attacks,Up B (Elwind),8/28,--,25,7.0/5.0,--,8(9—12/13—31) / 28—32(33—55),"Hitbox animation note: The blades are relative to Robin's position when he shoots them. In-game, Robin will move after each blade is shot, so they are not relative to each other at all. Visual is default angle. Empty Tome Elwind has 51 total frames.",7/6,3/3,Early/Late,--,,
Robin,Aerial Attacks,Down B (Nosferatu),15,49,--,**,**,15—18,Invulnerable on frame 15-18. 31 frames animation for releasing victim.,--,--,--,31,,
Robin,Aerial Attacks,Thrown Items,--,--,--,**,--,--,--,--,--,--,--,,
Robin,Aerial Attacks,Grab,7,39,--,--,,7—8,--,,,,31,,
Robin,Aerial Attacks,Dash Grab,10,47,--,--,,10—11,--,,,,36,,
Robin,Aerial Attacks,Pivot Grab,11,42,--,--,,11—12,--,,,,30,,
