character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Roy,Ground Attacks,Jab,5,22,--,7.5/4.8,-9/-12,5—7,--,9/6,8/5,Close/Far,15,,
Roy,Ground Attacks,Forward Tilt,8,33,--,12.5/9.0/8.0,-13/-16/-17,8—10,--,12/7/7,12/9/8,Close/Far,23,,
Roy,Ground Attacks,Up Tilt,6,38,--,12.0/7.0,-21/-25,6/7—8/9—11,--,12/7,11/7,Close/Far,27,,
Roy,Ground Attacks,Down Tilt,7,21,--,11.0/6.5,-3/-7,7—8,--,11/6,10/7,Close/Far,13,,
Roy,Ground Attacks,Dash Attack,13,45,--,13.0/9.0,-17/-21,13—16,--,12/7,15/11,Close/Far,29,,
Roy,Ground Attacks,Forward Smash,13,53,--,20.0/17.0/12.0,-27/-29/-32,13—14,Charge hold is frame 6,15/11/9,13/11/8,Close/med/far,39,,
Roy,Ground Attacks,Up Smash,12/15/17/19/22,58,--,1.0/2.0/10.0,-29,12—13/15/17/19/22—23,Forearm intangibility on frame 10-23. Charge hold is frame 4,6/7/10,2/-/7,First/multi/final,35,,
Roy,Ground Attacks,Down Smash,6/21,62,--,15.0/10.0/17.0/11.0,-46/-49/-30/-33,6—7/21—22,Charge hold is frame 3,13/8/14/8,10/7/11/8,"first close/far, second close/far",40,,
Roy,Ground Attacks,Neutral Air,6/15,45,9,6.0/4.0/8.5/5.0,-6/-6/-5/-6,6—7/15—21,Autocancels on frame 47 onward.The second hit uses a fixed weight for all characters. Every character will experience the same knockback at the same %.,8/5/10/6,3/3/4/3,"first close/far, second close/far",24,,
Roy,Ground Attacks,Forward Air,10,29,8,11.0 / 7.0,-4/-5,10—12,Autocancels on frame 31 onward,11/7,4/3,Close/Far,17,,
Roy,Ground Attacks,Back Air,8,35,10,12.0/9.0,-5/-6,8—10,Autocancels on frame 1-2 and 32 onward. Turns the character around.,12/7,5/4,Close/Far,25,,
Roy,Ground Attacks,Up Air,5,41,8,9.0/6.0,-4/-5,5—12,Autocancels on frame 1-2 and 38 onward,10/6,4/3,Close/Far,29,,
Roy,Ground Attacks,Down Air,16,51,14,15.0/10.0,-9/-10,16—17,Autocancels on frame 1-2 and 52 onward,13/8,5/4,Close/Far,34,,
