character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Samus,Ground Attacks,Jab 1,3,17,--,3.0,-10,3—4,Transitions to Jab 2 as early as frame 15.,5,4,--,13,,
Samus,Ground Attacks,Jab 2,6,29,--,8.0,-15,6—9,--,7,8,--,20,,
Samus,Ground Attacks,Forward Tilt,8,33,--,8.0/9.0/10.0,-17/-16/-15,8—10,Deals 1.0 more damage when angled.,7/7/8,8/9/10,Close/Middle/Far,23,,
Samus,Ground Attacks,Up Tilt,15,39,--,13.0/12.0,-12,15—18,--,9,12,Grounded/Aerial,21,,
Samus,Ground Attacks,Down Tilt,6,44,--,12.0,-26,6—8,--,9,12,--,36,,
Samus,Ground Attacks,Dash Attack,8,41,--,10.0/6.0,-23,8—9(10—13/14—18),--,8/6,10/6,Early/Clean/Late,23,,
Samus,Ground Attacks,Forward Smash,10,48,--,12.0/14.0,-29/-28,10—11,"Deals 1.0 more damage when angled up, 1.0 less when angled down. Charge hold frame is 3.",9/10,9/10,Close/Far,37,,
Samus,Ground Attacks,Up Smash,11/15/19/23/27,56,--,3.0/6.0,-24,11—12/15—16/19—20/23—24/27—28,Charge hold frame is 6,5/6,3/5,Multihit/Final,28,,
Samus,Ground Attacks,Down Smash,9/17,44,--,10.0/12.0,-27/-18,9—10/17—18,Charge hold frame is 3,8/9,8/9,--,26,,
Samus,Ground Attacks,Neutral Air,8/14,45,9,10.0/9.0/8.0,-5/-5/-6,8—11/14—15(16—22),Autocancels on frame 1-7 and 35 onward,8/8/7,4/4/4,Hit 1/Early Hit 2/Late Hit 2,23,,
Samus,Ground Attacks,Forward Air,6/12/18/24/30,59,14,3.0/1.6/5.0,-12/-12/-11,6—7/12—13/18—19/24—25/30—31,Autocancels on frame 47 onward,5/4/12,2/2/3,First/multi/final,28,,
Samus,Ground Attacks,Back Air,9,41,14,12.0/14.0/9.0,-9/-9/-10,9—10(11—14),Autocancels on frame 1-8 and 42 onward,9/7/8,5/4/4,Early close/Early far/late,27,,
Samus,Ground Attacks,Up Air,5...,39,18,3.0/1.2/4.0,-16/-16/-15,5/7—14(rehit: 3)/16—17,Autocancels on frame 1-2 and 34 onward,5/3/10,2/2/3,First/multi/final,22,,
Samus,Ground Attacks,Down Air,17,48,12,10.0/14.0,-8/-7,17—18/19—21/22—23,Autocancels on frame 1-3 and 34 onward,8/10,4/5,Early/Meteor/Late,25,,
Samus,Ground Attacks,Z Air,8/16,59,8,2.5/4.0,-4/-3,8—15/16—19,--,7/8,4/5,First/Second,40,,
Samus,Ground Attacks,Neutral B (Charge Shot),3(+13),44,--,5.0—26.1,-17 to +4,3—62 (from release),Startup is 3 from charge state. Takes 13 frames to enter charge state.,9—24,3—8,--,--,,
Samus,Ground Attacks,"Charge Shot, Full Charge",16,60,--,28.0,-12,16—75,Takes 125 frames to reach full charge,24,8,--,--,,
Samus,Ground Attacks,Side B (Homing Missle),18,54/59,--,8.0,-26,18—137,Projectile lasts until frame 118. Total frames is 59 in the air for either missile type.,7,3,--,--,,
Samus,Ground Attacks,Side B (Super Missle),21,57/59,30,12.0,-24,21—70,"Projectile lasts until frame 87. Starts moving forward around frame 50, allowing for followups.",9,4,--,--,,
Samus,Ground Attacks,Up B (Screw Attack),4...,--,24,3.0/1.0/2.0,--,4-6/7-11/12-14/15-24/25-26,Invulnerable on frame 3-6. Rehit rate of 6 for active frames 7-24.,5/4,4/2,First/Multi/Final,--,,
Samus,Ground Attacks,"Up B, Air (Screw Attack, Air)",5...,--,24,1.0,--,5-10/11-26/27-28,Invulnerable on frame 3-4. Rehit rate of 2 for all hits except final.,4,2,--,--,,
Samus,Ground Attacks,Down B (Bomb),33,47/44/48,--,4.0/5.0,--,33-82/1—18,Bomb is generated on frame 11. Explosion occurs one frame after touching a target. Bomb explodes automatically on frame 83. Total frames is 44 if the player is holding down.  And 48 in the air with no way to reduce it.,5,2,--,--,,
Samus,Ground Attacks,Grab,15,59,--,--,,15—22,--,,,,37,,
Samus,Ground Attacks,Dash Grab,17,67,--,--,,17—24,--,,,,43,,
Samus,Ground Attacks,Pivot Grab,18,62,--,--,,18—25,--,,,,37,,
Samus,Ground Attacks,Pummel,1,19,--,1.3,,,Total frames includes 14 frames of hitlag,,,,,,
Samus,Ground Attacks,Forward Throw,16,41,--,10.0,,,--,,,,,,
Samus,Ground Attacks,Backward Throw,12,49,--,10.0,,,--,,,,,,
Samus,Ground Attacks,Up Throw,15/16,41,--,5.0/7.0,,,--,,,,,,
Samus,Ground Attacks,Down Throw,21,37,--,8.0,,,--,,,,,,
Samus,Ground Attacks,Spot Dodge,,21/26,--,,,,Intangible on frame 3-17,,,,,,
Samus,Ground Attacks,Forward Roll,,34,--,,,,Intangible on frame 4-18,,,,,,
Samus,Ground Attacks,Backward Roll,,39,--,,,,Intangible on frame 5-20,,,,,,
Samus,Ground Attacks,Neutral Air Dodge,,56,10,,,,Intangible on frame 3-29,,,,,,
Samus,Ground Attacks,"Air Dodge, Down",,80,11-19,,,,Intangible on frame 3-21,,,,,,
Samus,Ground Attacks,"Air Dodge, Diagonally Down",,86,11-19,,,,Intangible on frame 3-21,,,,,,
Samus,Ground Attacks,"Air Dodge, Left/Right",,96,11-19,,,,Intangible on frame 3-21,,,,,,
Samus,Ground Attacks,"Air Dodge, Diagonally Up",,113,11-19,,,,Intangible on frame 3-21,,,,,,
Samus,Ground Attacks,"Air Dodge, Up",,130,11-19,,,,Intangible on frame 3-21,,,,,,
Samus,Ground Attacks,Stats,,,,,,,,,,,,,
Samus,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Samus,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Samus,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Samus,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Samus,Aerial Attacks,Neutral Air,8/14,45,9,10.0/9.0/8.0,-5/-5/-6,8—11/14—15(16—22),Autocancels on frame 1-7 and 35 onward,8/8/7,4/4/4,Hit 1/Early Hit 2/Late Hit 2,23,,
