character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Sephiroth,Ground Attacks,Jab 1,5,28,--,2.5,-19 [-19],5—7,Transitions to jab 2 on frame 10,7,4,--,21,,
Sephiroth,Ground Attacks,Jab 2,5,33,--,2.0,-25 [-24],5—7,Transitions to jab 3 on frame 10,6,3,--,26,,
Sephiroth,Ground Attacks,Jab 3,7,35,--,4.0,-23 [-22],7—9,**,8,6,--,26,,
Sephiroth,Ground Attacks,Forward Tilt,14,37,--,7.5/12.0/9.0,-15/-11/-14 [-13/-8/-12],14—16,--,7/10/7,8/11/9,close/middle/tip,21,,
Sephiroth,Ground Attacks,Up Tilt,10/13,37,--,"1.0 (Hit 1)/(11.0/12.5/14.0 (Hit 2, Clean))/(7.0/8.5/10.0 (Hit 2, late))",-32/-21/-19/-18 [-31/-18/-16/-14],10/13-15(16-25),Arm and upper body intangible on frame 13-15,4/8 / 10/15,2/10 / 12/13,launcher/close/middle/tip,12,,
Sephiroth,Ground Attacks,Down Tilt,9,42,--,8.0/6.0,-25,9—15(16—22),--,7/6,8/6,early/late,20,,
Sephiroth,Ground Attacks,Dash Attack,14,46,--,13.0/7.0,-20(-22) [-16(-19)],14—15(16—19),--,11,12,--,27,,
Sephiroth,Ground Attacks,Forward Smash,24,67,--,13.5/20.0./15.0,-33/-29/-32 [-31/-26/-30],24—25,Charge hold on frame 8. Armor with Wing on 10—23.,9/15/10,9/13/10,close/middle/tip,42,,
Sephiroth,Ground Attacks,Up Smash,23,63,--,(15.5/10.5/11.5 Early Hit)/(17.0/13.0/12.0 Clean Hit),(-29/-31 front)/(-23/-25/-24 back) [(-26/-29/-30)/(-21/-23/-25)],23/24-[26]-28,Charge hold on frame 12. Armor with wing on 14—22.Active frames note:Frame in brackets is a coverage hitbox that is active on that frame during the clean hit's active frames.,8/14/9 / 9/14/9,8/10/8 / 8/11/9,early close/middle/far / late close/middle/far,35,,
Sephiroth,Ground Attacks,Down Smash (if hitting the ground),21,53,--,16.5/13.5/10.5/11.5/13.0,-20/-22 [-17/-20],21—23,Charge hold on frame 8. Armour with Wing on 10—20.,8/13,8/11,Close/Far,30,,
Sephiroth,Ground Attacks,Down Smash (does not hit the ground),21,53,--,10.5/11.5/13.0,-24 [-22],21—22,Charge hold on frame 8. Armour with Wing on 10—20.,8/13,8/11,Close/Far,31,,
Sephiroth,Ground Attacks,Neutral Air,9,33,9,8.5,-5 [-4],9—10,Autocancels on frame 1 and 30 onward.,7,4,--,23,,
Sephiroth,Ground Attacks,Forward Air,13,41,14,(8.0/10.0/11.0 Clean hit)/(5.5/7.0/8.0 Late hit),-10 [-9],13—14(15—18),Autocancels on frame 1-2 and 39 onward.,7/8/10 / 6/7/7,4/4/4 / 3/3/4,early close/middle/far / late close/middle/far,23,,
Sephiroth,Ground Attacks,Back Air,15,46,16,9.5/14.5/11.5,-11 [-10],15—16,Autocancels on frame 1-4 and 46 onward.,8/12/9,4/5/5,close/middle/far,30,,
Sephiroth,Ground Attacks,Up Air,16,53,21,7.0/11.0/8.5,-17 [-17],16—21,Autocancels on frame 1-4 and 52 onward.,7/9/7,3/4/4,close/middle/far,32,,
Sephiroth,Ground Attacks,Down Air,19,61,26,Normal: (15.0/10.0 Clean hit)/10.0 | Landing: (5.0/7.0)/5.0%,Normal: -27 [-25] | Landing: -19 [-18],19—23/24—39(1—2),"Autocancels on frame 1-4 and 55 onward. Landing hit on frame 1 of landing, but falling and landing hits cannot seem to hit the same target.",12/8/6,5/4/6,early/late/landing,22,,
Sephiroth,Ground Attacks,Neutral B (Flare),41,65,--,3.0 / 10.5,-28,(22—27/28—34/35—39/40—95)/98—101,Explosion occurs three frames after contact. Can cancel as early as frame 20. Takes 7 frames to cancel with shield. Startup after charge release is 22.,*/8,*/4,initial/explode,--,,
Sephiroth,Ground Attacks,Megaflare,52,73,--,3.5 / 3.7 / 9.0,-22,21—48/(58—60/61—66/67—68),Must hold for 31 frames to reach this level of charge. Startup after charge release is 21.,5/*/7,2/*/4,initial/multi/explode,5,,
Sephiroth,Ground Attacks,Gigaflare,130,181,--,6.0 / 3.7 / 11.0,-13,130—176/(183—184/185—200/201—202),--,6/*/10,*/*/4,initial/multi/explode,--,,
Sephiroth,Ground Attacks,Side B (Shadow Flare),16—42,38—64,--,1.6—4.5 / 6.5,-17 — -15,8-14,Startup and total frames vary with charge. Startup after charge release is 8—14 frames.,4—5/8,2—3/3,projectile/explode,24,,
Sephiroth,Ground Attacks,"Up B, no charge (Blade Dash)",25,56*,27,7.0,-27 [-26],25—28,Total frames assumes travel along the ground.,7,4,--,28,,
Sephiroth,Ground Attacks,"Up B, charge (Octaslash)",36,104*,56,2.3 (Multihits)/(7.0/2.3 Final hit),-63 — -61/-47 [-62 — -60/-45],36/38/40/42/44/46/48/50,Total frames assumes travel along the ground.,5/15,*/7,multi/final,54,,
Sephiroth,Ground Attacks,"Down B (Scintilla, Miss)",38,86,**,1.0 / 5.0,-25 [-25],38—52 (Rehit: 5)/53,"Detection is 7—27.Counter only activates when something hits the wall, not Sephiroth's body.",4/6,*/3,multi/final,33,,
Sephiroth,Ground Attacks,"Down B (Scintilla, Success)",7,51,**,(2.0/4.0)/(6.5/18.0),**,7—21/22,Data is Upon the counter's activation. Sephiroth does not suffer hitlag. Damage listed is the Max. Intangibility on 1-11.,**,**,**,29,,
Sephiroth,Ground Attacks,Grab,7,36,--,--,,7—8,--,,,,28,,
Sephiroth,Ground Attacks,Dash Grab,10,44,--,--,,10—11,--,,,,33,,
Sephiroth,Ground Attacks,Pivot Grab,11,39,--,--,,11—12,--,,,,27,,
Sephiroth,Ground Attacks,Pummel,1,19,**,1.3,,,Total frames includes 14 frames of hitlag (plus one in 1v1),,,,,,
Sephiroth,Ground Attacks,Forward Throw,14,34,--,3.0/3.0,,,"Hits on 14, throws on 15",,,,,,
Sephiroth,Ground Attacks,Backward Throw,18,31,--,3.0/3.5,,,"Hits on 18, throws on 19",,,,,,
Sephiroth,Ground Attacks,Up Throw,13(14),32,--,4.0/3.0,,,"Hits on 13, late hit on 14. Throws on 14.",,,,,,
Sephiroth,Ground Attacks,Down Throw,40 (throw only),47,--,4.0,,,--,,,,,,
