character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Shulk,Ground Attacks,Jab 1,5,25,--,2.0,-17,5,Transitions to jab 2 as early as frame 11,6,3,--,20,,
Shulk,Ground Attacks,Jab 2,5,33,--,1.5,-25,5,Transitions to jab 3 as early as frame 12,4,3,--,28,,
Shulk,Ground Attacks,Jab 3,6,44,--,5.0/4.2,-32,6—7/8,--,12/11,6/5,Early/Late,36,,
Shulk,Ground Attacks,Forward Tilt,12,43,--,13.5/12.0,-19/-20,12—13,--,9/9,12/11,Blade/Beam,30,,
Shulk,Ground Attacks,Up Tilt,11,39,--,10.0/9.0,-18/-19,11—12/13—23,--,8/7,10/9,Blade/Beam,16,,
Shulk,Ground Attacks,Down Tilt,10,31,--,9.5/7.5,-12/-13,10—11,--,8/7,9/8,Blade/Beam,20,,
Shulk,Ground Attacks,Dash Attack,12,40,--,12.5/11.0,-16/-18,12—13,--,9/8,12/10,Blade/Beam,27,,
Shulk,Ground Attacks,Forward Smash,14/23,67,--,5.5/13.0/11.5,-35/-36,14—15/23 (Angled: 14—16/23),Charge hold is frame 8,9/16/15,5/9/8,First/Blade/Beam,44,,
Shulk,Ground Attacks,Up Smash,18/30,67,--,4.5/13.5,-28,(18—21/22—29)/(30—33),Charge hold is frame 10,5/9,4/9,First/Second,34,,
Shulk,Ground Attacks,Down Smash,18/23/28/35/41,82,--,14.0 / 11.0 / 12.0 / 10.0 / 10.0 / 8.0 / 8.0 / 6.0 / 6.0 / 4.0,-/-56/-51/-52/-47/-48/-41/-42/-36/-37,18—19/23—24/28—29/35—36/41—42,Charge hold is frame 4,10/8/9/8/8/ 7/7/6/6/5,-/8/8/7/7/ 6/6/5/5/4,"1st blade/beam, 2nd blade/beam, 3rd blade/beam, 4th blade/beam, 5th blade/beam",40,,
Shulk,Ground Attacks,Neutral Air,13,59,6,8.5/7.5,-2/-3,13—30,Autocancels on frame 1-2 and 54 onward,7/7,4/3,Blade/Beam,29,,
Shulk,Ground Attacks,Forward Air,14,41,10,8.0/6.5,-6/-7,14—18,Autocancels on frame 1-4 and 42 onward,7/6,4/3,Blade/Beam,23,,
Shulk,Ground Attacks,Back Air,19,54,11,12.5/8.5,-6/-7,19—21(22—23),Autocancels on frame 1-2 and 43 onward,9/7,5/4,Blade/Beam,31,,
Shulk,Ground Attacks,Up Air,14/24,54,9,5.5/10.5/8.0,-6/-5/-5,14—16/24—26,Autocancels on frame 1-3 and 53 onward,7/10/9,3/4/4,first/blade/beam,28,,
Shulk,Ground Attacks,Down Air,14/23,60,14,7.5/11.5/10.5,-11/-9/-10,14—15/23—25,Autocancels on frame 1-2 and 52 onward,7/9/8,3/5/4,first/blade/beam,35,,
Shulk,Ground Attacks,Neutral B (Monado Arts),--,9,--,--,--,**,Takes 4 frames to activate an art upon selection. 14 i-frames upon activating an art. Activation animation cancellable on frame 10.,--,--,--,--,,
Shulk,Ground Attacks,Side B (Back Slash),22,71,40,10.0/9.0/16.0/14.0,-29/-30/-25/-27,Ground: 22/23-31/32-33Air: 22/23—...1—2,Hits directly above Shulk at frame 22. Total frames is for level ground. Landing hit deals 1.0 less from the back. Block stats are for landing hit.,8/7/15/14,10/9/14/12,"front blade/beam, back blade/beam",40,,
Shulk,Ground Attacks,Up B (Air Slash),10,--,30,6.0/5.0,**,10—11/12—14/15—17,Transitions to second slash as early as frame 20,6/6,6/6,Blade/Beam,--,,
Shulk,Ground Attacks,Air Slash 2,9,--,30,5.5,**,9—10,--,8,6,--,--,,
Shulk,Ground Attacks,Down B (Vision),7 (Start of Counter),69,-,--,--,**,Invulnerable on frame 6. Counters on 7-41 when fresh. No data on Activated/Reversal Vision at this time. Vision Forward hit has 79 total frames (active 37-39). Vision Back hit has 56 active frames and is active on 21-22.,--,--,--,--,,
Shulk,Ground Attacks,Grab,7,36,--,--,,7—8,--,,,,28,,
Shulk,Ground Attacks,Dash Grab,10,44,--,--,,10—11,--,,,,33,,
Shulk,Ground Attacks,Pivot Grab,11,39,--,--,,11—12,--,,,,27,,
Shulk,Ground Attacks,Pummel,1,15,Total frames includes 13 frames of hitlag.,1.3,,,--,,,,,,
Shulk,Ground Attacks,Forward Throw,15/16,37,--,3.0/5.0,,,--,,,,,,
Shulk,Ground Attacks,Backward Throw,18/20,45,--,3.0/6.0,,,--,,,,,,
Shulk,Ground Attacks,Up Throw,20/22,47,--,3.0/4.0,,,--,,,,,,
Shulk,Ground Attacks,Down Throw,23/25,43,--,3.0/2.5,,,--,,,,,,
Shulk,Ground Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17,,,,,,
Shulk,Ground Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15,,,,,,
Shulk,Ground Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16,,,,,,
Shulk,Ground Attacks,Neutral Air Dodge,,49,10,,,,Intangible on frame 3-30,,,,,,
Shulk,Ground Attacks,"Air Dodge, Down",,68,11-19,,,,Intangible on frame 3-21,,,,,,
Shulk,Ground Attacks,"Air Dodge, Diagonally Down",,77,11-19,,,,Intangible on frame 3-21,,,,,,
Shulk,Ground Attacks,"Air Dodge, Left/Right",,83,11-19,,,,Intangible on frame 3-21,,,,,,
Shulk,Ground Attacks,"Air Dodge, Diagonally Up",,95,11-19,,,,Intangible on frame 3-21,,,,,,
Shulk,Ground Attacks,"Air Dodge, Up",,107,11-19,,,,Intangible on frame 3-21,,,,,,
Shulk,Ground Attacks,Stats,,,,,,,,,,,,,
Shulk,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
