character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Snake,Ground Attacks,Jab 1,3,15,--,2.5,-8,3—4,Transitions to jab 2 as early as frame 6,8,4,--,11,,
Snake,Ground Attacks,Jab 2,4,24,--,2.5,-16,4—5,Transitions to jab 3 as early as frame 7,8,4,--,19,,
Snake,Ground Attacks,Jab 3,8,46,--,6.0,-32,8—9,--,11,6,--,37,,
Snake,Ground Attacks,Forward Tilt 1,4,31,--,4.0,-22,4—5,Transitions to Ftilt 2 as early as frame 10,9,5,--,26,,
Snake,Ground Attacks,Forward Tilt 2,8,39,--,9.0/10.0/11.0,-22/-22/-21,8,--,7/7/8,9/9/10,Close/Far/Farther,31,,
Snake,Ground Attacks,Up Tilt,6,37,--,14.5/13.5,-18/**,6—8/9—13,--,10/9,13/12,Early/Late,24,,
Snake,Ground Attacks,Down Tilt,6,30,--,12.0,-13,6—7,--,9,11,--,23,,
Snake,Ground Attacks,Dash Attack,5,41,--,11.0/9.0/8.0/6.0,-26/**,5—8/9—12,Arm intangibility on frame 5-12,8/7,10/8,Early/Late,29,,
Snake,Ground Attacks,Forward Smash,41,73,--,22.0,-18,41—43,Charge hold is frame 38,13,14,--,30,,
Snake,Ground Attacks,Up Smash,11/35,54,--,4.0/14.0,-39/+1,11—12/35—**,Charge hold is frame 24. Projectile generated on frame 35. Projectile explosion is active for 5 frames.,5/10,4/10,Initial/Projectile,--,,
Snake,Ground Attacks,Down Smash,8/20,44,--,12.0/14.0,-28/-14,8—10/20—22,Charge hold is frame 5,9/10,8/10,--,22,,
Snake,Ground Attacks,Neutral Air,10/18/26/36,59,16,3.0/12.0,-14/-11,10—11/18—19/26—27/36—38,Autocancels on frame 1-3 and 50 onward,5/9,2/5,Multi/Final,21,,
Snake,Ground Attacks,Forward Air,23,69,19,14.0/15.0,-14/-14,23—26,Autocancels on frame 1-3 and 63 onward,10/10,5/5,Close/Far,43,,
Snake,Ground Attacks,Back Air,7,42,19,16.0/14.0/10.0/9.0,-13/-14/-15/-15,7—9/10—26,Autocancels on frame 40 onward,10/10/8/7,6/5/4/4,"Early far/close, Late far/close",16,,
Snake,Ground Attacks,Up Air,10,47,15,14.0/10.0,-10/-11,10—12/13—23,Autocancels on frame 1-4 and 36 onward,10/8,5/4,Far/Close,24,,
Snake,Ground Attacks,Down Air,3/10/17/25,59,20,4.0/3.0/10.0,-17/-18/-16,3—4/10—11/17—18/25—26,Autocancels on frame 54 onward,5/5/8,3/2/4,First/Multi/Final,33,,
Snake,Ground Attacks,Neutral B (Grenade),1 (Grenade Pull),21,--,--,--,**,Pull Pin animation takes 21 frames before you can throw or shield/dodge. Grenades explode on roughly frame 150. Grenade generates on frame 1. Grenade lasts 2.5 seconds until it blows up on its own.,--,--,--,--,,
Snake,Ground Attacks,"Grenade (Neutral Throw, Smash Throw, Underhand Throw)","8, 10, 9","27, 31, 25",--,2.0—3.1/8.9—9.9,**,**,Grenade collision and explosion vary slightly in damage,5/8,2/4,Collide/Explosion,--,,
Snake,Ground Attacks,Side B (Nikita),41,--,--,7.0/14.0,-19/-14,41—**,Takes 27 frames to cancel with shield. 29 frame fist pump animation after a hit.,7/10,3/5,Early/Late,--,,
Snake,Ground Attacks,Up B (Cypher),--,--,--,6.0,--,**,"Damage-based armor on frame 7—94. Frame 47 is the earliest you can cancel the move. To knock Snake off of Cypher you need to do 7% damage in doubles or 8.4% damage in singles with a single hit. To destroy the Cypher with multiple hits, it takes 13% in doubles and 15.6% in singles.",6,3,--,--,,
Snake,Ground Attacks,Down B (C4),9,24,-,--,--,**,Lasts 26.6 seconds until it blows up on its own.,--,--,--,--,,
Snake,Ground Attacks,C4 Detonate/Explosion,25,32,-,17.0,+20 / +11,25—27,--,11/11,15/6,Sticky/Non-Sticky,5,,
Snake,Ground Attacks,Grab,8,34,--,--,,8—9,--,,,,25,,
Snake,Ground Attacks,Dash Grab,11,42,--,--,,11—12,--,,,,30,,
Snake,Ground Attacks,Pivot Grab,9,37,--,--,,9—10,--,,,,27,,
Snake,Ground Attacks,Pummel,1,19,Total frames includes 13 frames of hitlag.,1.3,,,--,,,,,,
Snake,Ground Attacks,Forward Throw,21,39,--,9.0,,,--,,,,,,
Snake,Ground Attacks,Backward Throw,20,30,--,9.0,,,--,,,,,,
Snake,Ground Attacks,Up Throw,22/23,47,--,7.0/4.0,,,--,,,,,,
Snake,Ground Attacks,Down Throw,35,41,--,9.0,,,--,,,,,,
Snake,Ground Attacks,Spot Dodge,,21/26,--,,,,Intangible on frame 3-17,,,,,,
Snake,Ground Attacks,Forward Roll,,30,--,,,,Intangible on frame 4-15,,,,,,
Snake,Ground Attacks,Backward Roll,,35,--,,,,Intangible on frame 5-16,,,,,,
Snake,Ground Attacks,Neutral Air Dodge,,47,10,,,,Intangible on frame 4-28,,,,,,
Snake,Ground Attacks,"Air Dodge, Down",,64,11-19,,,,Intangible on frame 4-22,,,,,,
Snake,Ground Attacks,"Air Dodge, Diagonally Down",,75,11-19,,,,Intangible on frame 4-22,,,,,,
Snake,Ground Attacks,"Air Dodge, Left/Right",,81,11-19,,,,Intangible on frame 4-22,,,,,,
Snake,Ground Attacks,"Air Dodge, Diagonally Up",,99,11-19,,,,Intangible on frame 4-22,,,,,,
Snake,Ground Attacks,"Air Dodge, Up",,108,11-19,,,,Intangible on frame 4-22,,,,,,
Snake,Ground Attacks,Stats,,,,,,,,,,,,,
Snake,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Snake,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Snake,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Snake,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Snake,Aerial Attacks,Neutral Air,10/18/26/36,59,16,3.0/12.0,-14/-11,10—11/18—19/26—27/36—38,Autocancels on frame 1-3 and 50 onward,5/9,2/5,Multi/Final,21,,
Snake,Aerial Attacks,Forward Air,23,69,19,14.0/15.0,-14/-14,23—26,Autocancels on frame 1-3 and 63 onward,10/10,5/5,Close/Far,43,,
Snake,Aerial Attacks,Back Air,7,42,19,16.0/14.0/10.0/9.0,-13/-14/-15/-15,7—9/10—26,Autocancels on frame 40 onward,10/10/8/7,6/5/4/4,"Early far/close, Late far/close",16,,
Snake,Aerial Attacks,Up Air,10,47,15,14.0/10.0,-10/-11,10—12/13—23,Autocancels on frame 1-4 and 36 onward,10/8,5/4,Far/Close,24,,
Snake,Aerial Attacks,Down Air,3/10/17/25,59,20,4.0/3.0/10.0,-17/-18/-16,3—4/10—11/17—18/25—26,Autocancels on frame 54 onward,5/5/8,3/2/4,First/Multi/Final,33,,
Snake,Aerial Attacks,Neutral B (Grenade),1 (Grenade Pull),21,--,--,--,**,Pull Pin animation takes 21 frames before you can throw or shield/dodge. Grenades explode on roughly frame 150. Grenade generates on frame 1. Grenade lasts 2.5 seconds until it blows up on its own.,--,--,--,--,,
Snake,Aerial Attacks,"Grenade (Neutral Throw, Smash Throw, Underhand Throw)","8, 10, 9","27, 31, 25",--,2.0—3.1/8.9—9.9,**,**,Grenade collision and explosion vary slightly in damage,5/8,2/4,Collide/Explosion,--,,
Snake,Aerial Attacks,Side B (Nikita),41,--,--,7.0/14.0,-19/-14,41—**,Takes 27 frames to cancel with shield. 29 frame fist pump animation after a hit.,7/10,3/5,Early/Late,--,,
Snake,Aerial Attacks,Up B (Cypher),--,--,--,6.0,--,**,"Damage-based armor on frame 7—94. Frame 47 is the earliest you can cancel the move. To knock Snake off of Cypher you need to do 7% damage in doubles or 8.4% damage in singles with a single hit. To destroy the Cypher with multiple hits, it takes 13% in doubles and 15.6% in singles.",6,3,--,--,,
Snake,Aerial Attacks,Down B (C4),9,24,-,--,--,**,Lasts 26.6 seconds until it blows up on its own.,--,--,--,--,,
Snake,Aerial Attacks,C4 Detonate/Explosion,25,32,-,17.0,+20 / +11,25—27,--,11/11,15/6,Sticky/Non-Sticky,5,,
Snake,Aerial Attacks,Grab,8,34,--,--,,8—9,--,,,,25,,
Snake,Aerial Attacks,Dash Grab,11,42,--,--,,11—12,--,,,,30,,
Snake,Aerial Attacks,Pivot Grab,9,37,--,--,,9—10,--,,,,27,,
Snake,Aerial Attacks,Pummel,1,19,Total frames includes 13 frames of hitlag.,1.3,,,--,,,,,,
Snake,Aerial Attacks,Forward Throw,21,39,--,9.0,,,--,,,,,,
Snake,Aerial Attacks,Backward Throw,20,30,--,9.0,,,--,,,,,,
Snake,Aerial Attacks,Up Throw,22/23,47,--,7.0/4.0,,,--,,,,,,
Snake,Aerial Attacks,Down Throw,35,41,--,9.0,,,--,,,,,,
Snake,Aerial Attacks,Spot Dodge,,21/26,--,,,,Intangible on frame 3-17,,,,,,
Snake,Aerial Attacks,Forward Roll,,30,--,,,,Intangible on frame 4-15,,,,,,
Snake,Aerial Attacks,Backward Roll,,35,--,,,,Intangible on frame 5-16,,,,,,
Snake,Aerial Attacks,Neutral Air Dodge,,47,10,,,,Intangible on frame 4-28,,,,,,
Snake,Aerial Attacks,"Air Dodge, Down",,64,11-19,,,,Intangible on frame 4-22,,,,,,
Snake,Aerial Attacks,"Air Dodge, Diagonally Down",,75,11-19,,,,Intangible on frame 4-22,,,,,,
Snake,Aerial Attacks,"Air Dodge, Left/Right",,81,11-19,,,,Intangible on frame 4-22,,,,,,
