character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Sonic,Ground Attacks,Jab 1,3,19,--,2.0,-13,3,Transitions to jab 2 as early as frame 7,7,3,--,16,,
Sonic,Ground Attacks,Jab 2,2,21,--,1.5,-16,2,Transitions to jab 3 as early as frame 6,5,3,--,19,,
Sonic,Ground Attacks,Jab 3,4,35,--,4.0,-26,4—5,--,11,5,--,30,,
Sonic,Ground Attacks,Forward Tilt,6/8,35,--,4.0/7.0,-20,6/8—11,--,5/7,-/7,--,24,,
Sonic,Ground Attacks,Up Tilt,6(7)/13,35,--,2.0/6.0,-20,6—8(7—8)/13—14,"First hit on frame 6 is ground only, frame 7 if anti air.",4/6,3/6,--,21,,
Sonic,Ground Attacks,Down Tilt,6,27,--,6.0,-15,6—7,--,6,6,--,20,,
Sonic,Ground Attacks,Dash Attack,5,49,--,8.0/6.0,-38,5—8(9—20),--,6,6,Early/Late,29,,
Sonic,Ground Attacks,Forward Smash,18,47,--,14.0,-19,18—20,Charge hold is frame 12. Please checkthis Tweetto see hitboxes with Sonic's fist at a normal size.,10,10,--,27,,
Sonic,Ground Attacks,Up Smash,14...,61,--,5.0/1.0/3.0,-29,14/17/19/21/23/25/27/29-30,Invulnerable on frame 14-18. Charge hold is frame 10,6/4/5,2/-/3,First/Multi/Final,31,,
Sonic,Ground Attacks,Down Smash,12,54,--,12.0,-34,12—13,Charge hold is frame 5,9,8,--,41,,
Sonic,Ground Attacks,Neutral Air,6,49,10,12.0/8.0/5.0,-5/-6/-7,6—9(10—19/20—38),Autocancels on frame 48 onward,9/7/6,5/4/3,Early/Late/Later,11,,
Sonic,Ground Attacks,Forward Air,5/7/9/11/13/15,45,16,0.8/3.0,-14/-14,5/7/9/11/13/15,Autocancels on frame 1-2 and 34 onward,4/7,-/2,Multi/Final,30,,
Sonic,Ground Attacks,Back Air,13,37,15,14.0/10.0,-10/-11,13—14(15—19),Autocancels on frame 1-4 and 33 onward,12/8,5/4,Early/Late,18,,
Sonic,Ground Attacks,Up Air,5/14,39,13,3.0/8.0,-11/-9,5—7/14—15,Autocancels on frame 1-4 and 16 onward,5/9,2/4,--,24,,
Sonic,Ground Attacks,Down Air,17,45,21,8.0/7.0,-17/-18,17—19/20—32,Autocancels on frame 1-3 and 41 onward,11/7,4/3,Meteor/Late,13,,
Sonic,Ground Attacks,Neutral B (Homing Attack),17—82,-,--,7.0—20.0,-22 to -16,**,26 endlag on hit,7—12,4—10,--,--,,
Sonic,Ground Attacks,Side B (Spin Dash),17,--,--,5.0/7.0—10.9,"+6 (hop)+8 (grounded, no charge)+11 (grounded, full charge)+11 (aerial, any)",**,Invulnerable frame 17-22. Startup is 1 from a charging state with six I-frames. Stops on shields. Endlag for that is 28.Startup/charge cancelable starting f7 into:- vertical spin dash jump- spin hopsAfter release cancels into:-Spin dash jump-double jump (aerial only)Check out this imagefor more information on Spin Dash and Spin Charge.,6/7—8,6/7—10,--,--,,
Sonic,Ground Attacks,"Spin Dash, Jump",3,--,--,--,+4,--,Cancelable into:-Up/Neutral special-All aerials-Double jump,--,--,--,--,,
Sonic,Ground Attacks,Up B (Spring Jump),4,18,10,4.0,-7,**,Invulnerable on frame 5-7. Landing lag state can be overwritten with other actions. No projectile on ground version.,5,2,--,--,,
Sonic,Ground Attacks,Down B (Spin Charge),15/17/19/21,59,-,1.7—2.5/4.0,-33,**,Startup and total frames refer to minimum charge.Startup/charge cancelable starting f7 into:- spin dash jump- double jump (air only)Check out this imagefor more information on Spin Dash and Spin Charge.,4—5/5,-/5,Multi/Final,--,,
Sonic,Ground Attacks,"Spin Charge, Jump",3,10,-,3.0/6.0,-1,**,Jumping from an air version generates no hitbox or endlag.,5/6,4/6,--,--,,
Sonic,Ground Attacks,"Spin Charge, Aerial",3,10,-,3.0/6.0,-1,**,Jumping from an air version generates no hitbox or endlag.,5/6,4/6,--,--,,
Sonic,Ground Attacks,Grab,7,37,--,--,,7—8,--,,,,29,,
Sonic,Ground Attacks,Dash Grab,10,47,--,--,,10—11,--,,,,36,,
Sonic,Ground Attacks,Pivot Grab,11,39,--,--,,11—12,--,,,,27,,
Sonic,Ground Attacks,Pummel,1,19,Total frames includes 13 frames of hitlag.,1.3,,,--,,,,,,
Sonic,Ground Attacks,Forward Throw,10/11,37,--,1.0/6.0,,,--,,,,,,
Sonic,Ground Attacks,Backward Throw,43,66,--,7.0,,,--,,,,,,
Sonic,Ground Attacks,Up Throw,22/23,42,--,1.0/5.0,,,--,,,,,,
Sonic,Ground Attacks,Down Throw,18/26/34/42,74,--,1.0/5.0,,,--,,,,,,
Sonic,Ground Attacks,Spot Dodge,,19/24,--,,,,Intangible on frame 3-16,,,,,,
Sonic,Ground Attacks,Forward Roll,,28,--,,,,Intangible on frame 4-14,,,,,,
Sonic,Ground Attacks,Backward Roll,,33,--,,,,Intangible on frame 4-15,,,,,,
Sonic,Ground Attacks,Neutral Air Dodge,,50,10,,,,Intangible on frame 2-26,,,,,,
Sonic,Ground Attacks,"Air Dodge, Down",,66,11-19,,,,Intangible on frame 2-19,,,,,,
Sonic,Ground Attacks,"Air Dodge, Diagonally Down",,74,11-19,,,,Intangible on frame 2-19,,,,,,
Sonic,Ground Attacks,"Air Dodge, Left/Right",,81,11-19,,,,Intangible on frame 2-19,,,,,,
Sonic,Ground Attacks,"Air Dodge, Diagonally Up",,99,11-19,,,,Intangible on frame 2-19,,,,,,
Sonic,Ground Attacks,"Air Dodge, Up",,107,11-19,,,,Intangible on frame 2-19,,,,,,
Sonic,Ground Attacks,Stats,,,,,,,,,,,,,
