character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Terry,Ground Attacks,Jab 1,3,13,--,3.0,-6,3—4,Special Cancellable (+4 on shield). Transitions to jab 2 as early as frame 6,**,**,--,9,,
Terry,Ground Attacks,Jab 2,3/4,24,--,1.0,-19/-17,3/4—7,Special Cancellable (+2 on shield). Transitions to jab 3 as early as frame 9,**,**,--,17,,
Terry,Ground Attacks,Jab 3,7,33,--,7.0,-19,7—10,--,**,**,--,23,,
Terry,Ground Attacks,Forward Tilt,8,27,--,12.0/13.0,-8/-7,8—13,Special Cancellable (+11 on shield). Leg intangible on frame 8-13.,9/9,11/12,Close/Far,14,,
Terry,Ground Attacks,Up Tilt,7,30,--,11.0,-12,7—11,Special Cancellable (+10 on shield). Arm intangible on frame 7-11,**,**,--,19,,
Terry,Ground Attacks,Down Tilt,6,16,--,3.0,-6,6—8,Special Cancellable (+4 on shield).,--,--,--,8,,
Terry,Ground Attacks,Dash Attack,10,40,--,13.0/10.0,-18/-15,10—14(15—22),--,**,**,Early/Late,18,,
Terry,Ground Attacks,Forward Smash,18,50,--,18.0,-20,18—21,Charges between frames 10-11,**,**,**,29,,
Terry,Ground Attacks,Up Smash,10,41,--,16.0/18.0,-20 / -18,10(11—14),Charges between frames 8-9,**,**,Early/Late,27,,
Terry,Ground Attacks,Down Smash,8,40,--,12.0,-23,8—11,Charges between frames 2-3,**,**,--,29,,
Terry,Ground Attacks,Neutral Air,4,33,7,7.0/5.0,-4,4—8(9—19),Special Cancellable (+3 on shield). Autocancels on 1-3 and 24 onward.,7/6,3/3,Early/Late,14,,
Terry,Ground Attacks,Forward Air,7,39,12,11.0/8.0,-7/-8,7—10(11—17),Autocancels on 1-4 and 26 onward.,9/7,5/4,Early/Late,22,,
Terry,Ground Attacks,Back Air,11,39,11,15.0,-5/-6,11—13(14—15),Autocancels on 1-10 and 30 onward.,10/9,6/5,Early/Late,24,,
Terry,Ground Attacks,Up Air,7,35,7,5.0,-3,7—9,Special Cancellable (+4 on shield).  Autocancels on 1 and 19 onward.,8,4,--,26,,
Terry,Ground Attacks,Down Air,12,32,16,15.0/17.0,-10,12—15,Special Cancellable (+6 on shield). Autocancels on 1-11 and 24 onward.,11/10,6/6,Close/Far,17,,
Terry,Ground Attacks,"Neutral B (Power Wave, Ground)",18 (21),49 (52),--,8.0 (9.0),-22 (-21),18—86 (21—66),**,**,**,Weak (Strong),--,,
Terry,Ground Attacks,"Power Wave, Air",18 (18),49 (49),--,10.0 (11.0),**,18—27 (18—24),**,**,**,Weak (Strong),22,,
Terry,Ground Attacks,Forward B (Burning Knuckle),15/19 (21/26) | 14—17(18—26),60 (69) | 46 (50),--,13.0/12.0 (14.0/12.0),-28 (-34),15—19(20—30) | 21—28(27—39) | 14—17(18—26) | 18—21(22—30),Air version has 14/18 startup and 45/54 total frames,**,**,Ground Weak | (Strong) | Air Weak | (Strong)Ground | Air,21,,
Terry,Ground Attacks,"Burning Knuckle, Input",15/21 (21/28) | 14/19 (18/23),60 (69) | 46 (50),--,16.0/14.0 (17.0/14.0),-26 (-32),15—21(22—30) | 21—28(29—39) | 14—19(20—26) | 18—23(24—30),Arm intangibility on frame 15-21 (weak) or 21-28 (strong) air version has 14/18 startup and 45/54 total frames,**,**,Weak (Strong),21,,
Terry,Ground Attacks,Back B (Crack Shoot),13/21,46 (45 air),**,(3.0/4.0/5.0)/(6.0/8.0/10.0),-12,13(14—20)/21(22—26),Hold the button for more distance. Input version has 1.2x damage multiplier.,**,**,(First Close/Far/Farthest)/(Second Close/Far/Farthest),20,,
Terry,Ground Attacks,Up B (Rising Tackle),10/12/15/20/25,**,15,4.0/0.3/7.0/9.0,**,10/12/15/20/25,Leg intangible on frames 9-20. Final hit damage depends on weak or strong input.,**,**,First/Multi/Final,--,,
Terry,Ground Attacks,Rising Tackle (Charged Input),10/12/14/16/19/21/24/29/34,**,15,4.5/0.3/8.0/10.0,**,10/12/14/16/19/21/24/29/34,"Takes24 framesof down-input to charge,stores charge for 10 framesafter releasing down for up input (more info here). Invulnerable on frame 5-16 (5-11 air). Leg intangible frame 17-24.",**,**,First/Multi/Final,--,,
Terry,Ground Attacks,Down B (Power Dunk),Weak: 6/9/29 | Strong: 6/9/35,"Ground Weak 54, Ground Strong 65 | Air Weak 67, Air Strong 74",20 (24),1.0/2.0/12.0/14.0,-19,6/9/11/29—30/31—41,First total frames assumes level ground. Input version invulnerable on frame 6-12 and deals 20% more base damage.,**,**,First/Second/Dunk Early/Dunk Late,13,,
Terry,Ground Attacks,Power Geyser,20,71,**,26.0/23.0,-29,20—23/24—29,"Must be above 100% to use. Input shortcut: Down, Back, Forward+A/B. Heavy Armor: 1-14F (5%).",**,**,Close/Far,42,,
Terry,Ground Attacks,Buster Wolf,14,65/64,**,5.0/20.0,-45,14—23/46,"Must be above 100% to use. Input shortcut: Down, Forward, Down, Forward+A/B. Heavy Armor: 1-15F (8%, search). Right arm invincibility: 10-23F (search). Whole body intangible: 1-26F (after hit). Second total frames is on success. Proximity activator begins at frame 14 and ends on 24. Will not activate on shields.",**,**,Punch/Blast,19,,
Terry,Ground Attacks,Grab,6,34,--,--,,6—7,--,,,,27,,
Terry,Ground Attacks,Dash Grab,9,42,--,--,,9—10,--,,,,32,,
Terry,Ground Attacks,Pivot Grab,10,37,--,--,,10—11,--,,,,26,,
Terry,Ground Attacks,Pummel,1,16,--,1.5,,,Includes 13 frames of hitlag,,,,,,
Terry,Ground Attacks,Forward Throw,21,40,--,10.0,,,--,,,,,,
Terry,Ground Attacks,Backward Throw,21,44,--,10.0,,,--,,,,,,
Terry,Ground Attacks,Up Throw,12/13,33,--,5.0/1.0,,,--,,,,,,
Terry,Ground Attacks,Down Throw,23,47,--,8.0,,,--,,,,,,
Terry,Ground Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17,,,,,,
Terry,Ground Attacks,Spot Dodge ATTACK,5,28 Total,--,,-17,5—9,Intangible on frame 1-3. Upper body intangible frame 4-9. Deals 11.0 damage.,,,,,,
Terry,Ground Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15.,,,,,,
Terry,Ground Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16.,,,,,,
Terry,Ground Attacks,Neutral Air Dodge,,51,10,,,,Intangible on frame 3-30.,,,,,,
Terry,Ground Attacks,"Air Dodge, Down",,**,**,,,,**,,,,,,
Terry,Ground Attacks,"Air Dodge, Diagonally Down",,**,**,,,,**,,,,,,
Terry,Ground Attacks,"Air Dodge, Left/Right",,**,**,,,,**,,,,,,
Terry,Ground Attacks,"Air Dodge, Diagonally Up",,**,**,,,,**,,,,,,
Terry,Ground Attacks,"Air Dodge, Up",,**,**,,,,**,,,,,,
Terry,Ground Attacks,Stats,,,,,,,,,,,,,
Terry,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Terry,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Terry,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Terry,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Terry,Aerial Attacks,Neutral Air,4,33,7,7.0/5.0,-4,4—8(9—19),Special Cancellable (+3 on shield). Autocancels on 1-3 and 24 onward.,7/6,3/3,Early/Late,14,,
Terry,Aerial Attacks,Forward Air,7,39,12,11.0/8.0,-7/-8,7—10(11—17),Autocancels on 1-4 and 26 onward.,9/7,5/4,Early/Late,22,,
Terry,Aerial Attacks,Back Air,11,39,11,15.0,-5/-6,11—13(14—15),Autocancels on 1-10 and 30 onward.,10/9,6/5,Early/Late,24,,
Terry,Aerial Attacks,Up Air,7,35,7,5.0,-3,7—9,Special Cancellable (+4 on shield).  Autocancels on 1 and 19 onward.,8,4,--,26,,
Terry,Aerial Attacks,Down Air,12,32,16,15.0/17.0,-10,12—15,Special Cancellable (+6 on shield). Autocancels on 1-11 and 24 onward.,11/10,6/6,Close/Far,17,,
Terry,Aerial Attacks,"Neutral B (Power Wave, Ground)",18 (21),49 (52),--,8.0 (9.0),-22 (-21),18—86 (21—66),**,**,**,Weak (Strong),--,,
Terry,Aerial Attacks,"Power Wave, Air",18 (18),49 (49),--,10.0 (11.0),**,18—27 (18—24),**,**,**,Weak (Strong),22,,
