character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Toon_link,Ground Attacks,Jab 1,5,18,--,2.0,-10,5—6,Transitions to jab 2 as early as frame 8,7,3,--,12,,
Toon_link,Ground Attacks,Jab 2,6,20,--,2.0,-11,6—7,Transitions to jab 3 as early as frame 9,5,3,--,13,,
Toon_link,Ground Attacks,Jab 3,6,36,--,4.0,-25,6—7,--,11,5,--,29,,
Toon_link,Ground Attacks,Forward Tilt,9,29,--,9.0,-11,9—13,--,7,9,--,16,,
Toon_link,Ground Attacks,Up Tilt,8,25,--,5.0,-11,8—12,--,6,6,--,13,,
Toon_link,Ground Attacks,Down Tilt,9,22,--,7.0,-6,9—10,--,7,7,--,12,,
Toon_link,Ground Attacks,Dash Attack,7,28,--,8.0/6.0,-13,7—9,--,9,8,--,19,,
Toon_link,Ground Attacks,Forward Smash,16,48,--,14.0,-22,16—17,Charge hold is frame 8,12,10,--,31,,
Toon_link,Ground Attacks,Up Smash,11,42,--,13.0,-22,11(12—13/14—15),Charge hold is frame 4,9,9,--,27,,
Toon_link,Ground Attacks,Down Smash,9/17,46,--,12.0/13.0,-29/-20,9—10/17—18,Charge hold frame is 3,9/9,8/9,--,28,,
Toon_link,Ground Attacks,Neutral Air,6/13,41,7,8.5/7.0,-3/-4,6—7/13—14,Autocancels on frame 1-2 and 41 onward,7/7,4/3,--,27,,
Toon_link,Ground Attacks,Forward Air,14,38,11,13.0,-6,14—15,Autocancels on frame 1-3 and 39 onward,9,5,--,23,,
Toon_link,Ground Attacks,Back Air,6,35,8,8.0,-4,6—9,Autocancels on frame 34 onward,7,4,--,26,,
Toon_link,Ground Attacks,Up Air,11,59,13,14.0/11.0,-8/-9,11—13(14—40),Autocancels on frame 1-5 and 47 onward,11/9,5/4,Early/Late,19,,
Toon_link,Ground Attacks,Down Air,17,79,23,16.0/12.0,-17/-16,17—25(26—64)/1,Autocancels on frame 1-5 and 65 onward. Landing hitbox on frame 1.,10/9,6/5,Early/Late/Landing,15,,
Toon_link,Ground Attacks,Z Air,11,73,8,4.0,-3,11—20,--,5,5,--,53,,
Toon_link,Ground Attacks,Neutral B (Hero's Bow),18—60,39—82,--,4.0—12.0,-12 to -6,18—77,Startup is 1 from charge release. Reaches full charge on 60.,5—9,2—4,Uncharged—Full Charge,--,,
Toon_link,Ground Attacks,Side B (Boomerang),27,45,--,5.0—9.6/3.0,-9 to -6,27—36(37—77/78—173),9 frame animation of catching the boomerang if no other action is performed,6—8/5,3—4/2,Going/Returning,--,,
Toon_link,Ground Attacks,Up B (Spin Attack),6...,77,--,1.0/3.0,-25,6—14/15—46/48 (rehit: 4),Multihits have shieldlag but no hitlag. Can be charged up to 60 frames for up to 60% additional damage. Startup is 3 on charge release,4/10,2/4,Multi/Final,29,,
Toon_link,Ground Attacks,"Up B, Air (Spin Attack, Air)",8...,--,30,4.0/2.0/4.0,--,8—10/12—13/16—18/19—20/22—24/27—28/31—33/35/44—48,--,5/4/9,5/3/5,First/Multi/Final,--,,
Toon_link,Ground Attacks,Down B (Bomb Pull),--,36,--,--,--,**,"Explodes automatically on frame ~315. Bomb rotates on searchbox's center, not bomb's center.",--,--,--,--,,
Toon_link,Ground Attacks,Grab,12,52,--,--,,12—18,Hand grabbox active for the first 2 frames,,,,34,,
Toon_link,Ground Attacks,Dash Grab,14,60,--,--,,14—20,Hand grabbox active for the first 2 frames,,,,40,,
Toon_link,Ground Attacks,Pivot Grab,15,55,--,--,,15—21,Hand grabbox active for the first 2 frames,,,,34,,
Toon_link,Ground Attacks,Pummel,1,16,--,1.0,,,Total frames includes 10 frames of hitlag,,,,,,
Toon_link,Ground Attacks,Forward Throw,12/14,39,--,3.0/4.0,,,--,,,,,,
Toon_link,Ground Attacks,Backward Throw,18,45,--,7.0,,,--,,,,,,
Toon_link,Ground Attacks,Up Throw,27/28,49,--,5.0/2.0,,,--,,,,,,
Toon_link,Ground Attacks,Down Throw,22/24,49,--,3.0/4.0,,,--,,,,,,
Toon_link,Ground Attacks,Spot Dodge,,19/24,--,,,,Intangible on frame 3-16,,,,,,
Toon_link,Ground Attacks,Forward Roll,,28,--,,,,Intangible on frame 4-14,,,,,,
Toon_link,Ground Attacks,Backward Roll,,33,--,,,,Intangible on frame 4-15,,,,,,
Toon_link,Ground Attacks,Neutral Air Dodge,,56,10,,,,Intangible on frame 2-26,,,,,,
Toon_link,Ground Attacks,"Air Dodge, Down",,76,11-19,,,,Intangible on frame 2-19,,,,,,
Toon_link,Ground Attacks,"Air Dodge, Diagonally Down",,85,11-19,,,,Intangible on frame 2-19,,,,,,
Toon_link,Ground Attacks,"Air Dodge, Left/Right",,93,11-19,,,,Intangible on frame 2-19,,,,,,
Toon_link,Ground Attacks,"Air Dodge, Diagonally Up",,111,11-19,,,,Intangible on frame 2-19,,,,,,
Toon_link,Ground Attacks,"Air Dodge, Up",,123,11-19,,,,Intangible on frame 2-19,,,,,,
Toon_link,Ground Attacks,Stats,,,,,,,,,,,,,
Toon_link,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Toon_link,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Toon_link,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Toon_link,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Toon_link,Aerial Attacks,Neutral Air,6/13,41,7,8.5/7.0,-3/-4,6—7/13—14,Autocancels on frame 1-2 and 41 onward,7/7,4/3,--,27,,
Toon_link,Aerial Attacks,Forward Air,14,38,11,13.0,-6,14—15,Autocancels on frame 1-3 and 39 onward,9,5,--,23,,
Toon_link,Aerial Attacks,Back Air,6,35,8,8.0,-4,6—9,Autocancels on frame 34 onward,7,4,--,26,,
Toon_link,Aerial Attacks,Up Air,11,59,13,14.0/11.0,-8/-9,11—13(14—40),Autocancels on frame 1-5 and 47 onward,11/9,5/4,Early/Late,19,,
Toon_link,Aerial Attacks,Down Air,17,79,23,16.0/12.0,-17/-16,17—25(26—64)/1,Autocancels on frame 1-5 and 65 onward. Landing hitbox on frame 1.,10/9,6/5,Early/Late/Landing,15,,
Toon_link,Aerial Attacks,Z Air,11,73,8,4.0,-3,11—20,--,5,5,--,53,,
Toon_link,Aerial Attacks,Neutral B (Hero's Bow),18—60,39—82,--,4.0—12.0,-12 to -6,18—77,Startup is 1 from charge release. Reaches full charge on 60.,5—9,2—4,Uncharged—Full Charge,--,,
Toon_link,Aerial Attacks,Side B (Boomerang),27,45,--,5.0—9.6/3.0,-9 to -6,27—36(37—77/78—173),9 frame animation of catching the boomerang if no other action is performed,6—8/5,3—4/2,Going/Returning,--,,
Toon_link,Aerial Attacks,Up B (Spin Attack),6...,77,--,1.0/3.0,-25,6—14/15—46/48 (rehit: 4),Multihits have shieldlag but no hitlag. Can be charged up to 60 frames for up to 60% additional damage. Startup is 3 on charge release,4/10,2/4,Multi/Final,29,,
Toon_link,Aerial Attacks,"Up B, Air (Spin Attack, Air)",8...,--,30,4.0/2.0/4.0,--,8—10/12—13/16—18/19—20/22—24/27—28/31—33/35/44—48,--,5/4/9,5/3/5,First/Multi/Final,--,,
Toon_link,Aerial Attacks,Down B (Bomb Pull),--,36,--,--,--,**,"Explodes automatically on frame ~315. Bomb rotates on searchbox's center, not bomb's center.",--,--,--,--,,
Toon_link,Aerial Attacks,Grab,12,52,--,--,,12—18,Hand grabbox active for the first 2 frames,,,,34,,
Toon_link,Aerial Attacks,Dash Grab,14,60,--,--,,14—20,Hand grabbox active for the first 2 frames,,,,40,,
Toon_link,Aerial Attacks,Pivot Grab,15,55,--,--,,15—21,Hand grabbox active for the first 2 frames,,,,34,,
