character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Wario,Ground Attacks,Jab,8,27,--,5.0,-16,8—9,Transitions to Jab 2 as early as frame 10.,9,5,--,18,,
Wario,Ground Attacks,Jab 2,4,29,--,7.0,-23,4—5,--,12,6,--,24,,
Wario,Ground Attacks,Forward Tilt,12,39,--,13.0/10.0,-15,12—15,--,9,12,Far/Close,24,,
Wario,Ground Attacks,Up Tilt,8,27,--,6.0/5.0,-13,8—10/11—15,--,6,6,Early/Late,12,,
Wario,Ground Attacks,Down Tilt,5,17,--,4.0,-7,5,--,5,5,--,12,,
Wario,Ground Attacks,Dash Attack,5,48,--,11.0/5.0,-33,5—8/9—23,--,8/6,10/6,Early/Late,25,,
Wario,Ground Attacks,Forward Smash,18,65,--,20.0,-34,18—19,Charge hold is frame 4,12,13,--,46,,
Wario,Ground Attacks,Up Smash,11,57,--,17.0/13.0,-35/-37,11—12/13,Head intangibility on frame 8-14. Charge hold is frame 4,11/9,11/9,Close/Far,44,,
Wario,Ground Attacks,Down Smash,8,61,--,13.0/10.0/5.0,-44,8—17/18—27/28—36,Charge hold is frame 2,9,9,Early/Late/Later,25,,
Wario,Ground Attacks,Neutral Air,4/20,45,7,6.0/3.0/6.0/4.0/5.0,-4/-4,4—12(13—17)/20—26(27—42),Autocancels on frame 1-3 and 43 onward,6/6,3/3,Early Hit 1/Late Hit 1 Hands/Late Hit 1 Body/Early Hit 2/Late Hit 2,3,,
Wario,Ground Attacks,Forward Air,5,37,10,7.0 / 4.5,-7/-7,5—6/7—17,Autocancels on frame 1-4 and 27 onward,7/5,3/3,Early/Late,20,,
Wario,Ground Attacks,Back Air,9,49,16,12.0,-11,9—11,Autocancels on frame 1-4 and 34 onward,9,5,--,38,,
Wario,Ground Attacks,Up Air,8,46,7,13.0,-2,8—9,Autocancels on frame 1-3 and 37 onward,9,5,--,37,,
Wario,Ground Attacks,Down Air,9/11/13/15/17/19/21,47,18,1.3/4.0,-16/-15,9/11/13/15/17/19/21,Autocancels on frame 1-2 and 42 onward,4/11,2/3,Multi/Final,26,,
Wario,Ground Attacks,Neutral B (Chomp),8 (11 Grab Release),41 (19 Grab Release),--,--,--,8—16 (Can hold: 8—64),25 endlag from release of the button. Can eat projectiles on frame 9—. With the exception of Bike being eaten on frame 2. Animation for eating a projectile is 25 frames. 55 for the Bike.,--,--,--,--,,
Wario,Ground Attacks,Side B (Wario Bike),20/24,--,--,0.6—11.4,**,20—**,"Startup is 24 if mounting a bike laying on the ground. Frame 20 is the earliest you can jump, turnaround, wheelie. Wario seems to suffer more shieldlag than the defender on any hit.","4-8, 6-13(Wario)",2—4,--,--,,
Wario,Ground Attacks,"Wario Bike, Wheelie",4/54,64,--,5.0/13.0,-60/-10,**,Bike armor on frame 10. Jump animation takes 28 frames.,"8/9, 11/14(Wario)",3/5,--,--,,
Wario,Ground Attacks,"Wario Bike, Turnaround",6,45,--,7.0,-40,**,Looking for Bike animation takes 39 frames,"8, 12(Wario)",3,--,--,,
Wario,Ground Attacks,Bike (Thrown / Item),--,--,--,--,--,--,--,--,--,--,--,,
Wario,Ground Attacks,Up B (Corkscrew),6/8/12/16/20/29,--,20,5.0/1.0/4.0,**,6—7/8—11/12—15/16—19/20—23/29—30,--,6/4/11,-/2/5,First/Multi/Final,--,,
Wario,Ground Attacks,Down B (Wario Waft),"16, 10, 8, 12","79, 64, 54, 63",--,"0.0, 12.0+, 20.0+, 27.0/20.0","--, -41, -24, -28","16—18, 10—11, 8—11, 12—13/14—29",Full Waft has armor on frames 4—13.,"--, 10, 13, 19/12","--, 13, 20, 23/18","Stage 1, Stage 2, Stage 3, Final Stage Early/Late",50,,
Wario,Ground Attacks,Grab,8,35,--,--,,8—10,--,,,,25,,
Wario,Ground Attacks,Dash Grab,11,43,--,--,,11—13,--,,,,30,,
Wario,Ground Attacks,Pivot Grab,12,38,--,--,,12—14,--,,,,24,,
Wario,Ground Attacks,Pummel,2,21,Total frames includes 14 frames of hitlag.,1.6,,,--,,,,,,
Wario,Ground Attacks,Forward Throw,20/21,54,--,4.0/8.0,,,--,,,,,,
Wario,Ground Attacks,Backward Throw,48,69,--,7.0,,,--,,,,,,
Wario,Ground Attacks,Up Throw,24/25,43,--,4.0/4.0,,,--,,,,,,
Wario,Ground Attacks,Down Throw,22/30,54,--,4.0/7.0,,,--,,,,,,
Wario,Ground Attacks,Spot Dodge,,21/26,--,,,,Intangible on frame 3-17,,,,,,
Wario,Ground Attacks,Forward Roll,,30,--,,,,Intangible on frame 4-15,,,,,,
Wario,Ground Attacks,Backward Roll,,35,--,,,,Intangible on frame 5-16,,,,,,
Wario,Ground Attacks,Neutral Air Dodge,,50,10,,,,Intangible on frame 3-29,,,,,,
Wario,Ground Attacks,"Air Dodge, Down",,66,11-19,,,,Intangible on frame 3-21,,,,,,
