character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Wii_fit_trainer,Ground Attacks,Jab 1,4,25,--,2.0,-18,4—5,Transitions to jab 2 as early as frame 9,7,3,--,20,,
Wii_fit_trainer,Ground Attacks,Jab 2,3,29,--,2.0,-23,3—4,Transitions to jab 2 as early as frame 9,4,3,--,25,,
Wii_fit_trainer,Ground Attacks,Jab 3,5,39,--,3.0,-30,5—6,Can bury,10,4,--,33,,
Wii_fit_trainer,Ground Attacks,Forward Tilt,6,32,--,11.0,-16,6—10,--,8,10,--,22,,
Wii_fit_trainer,Ground Attacks,Up Tilt,5,29,--,10.0,-14,5—12,Arm intangibility on frame 3-12,8,10,--,17,,
Wii_fit_trainer,Ground Attacks,Down Tilt,9,38,--,13.5,-17,9—12,--,9,12,--,26,,
Wii_fit_trainer,Ground Attacks,Dash Attack,6,38,--,10.0/6.0,-20,6—8(9—13),--,8/6,12/10,Early/Late,25,,
Wii_fit_trainer,Ground Attacks,Forward Smash,16,56,--,15.5,-30,16—19,Charge hold is frame 6,10,10,--,37,,
Wii_fit_trainer,Ground Attacks,Up Smash,11,54,--,15.0/18.0,-33/-31,11—12(13—19),Invulnerable on frame 9-12. Charge hold is frame 4,10/15,10/12,Body/Arms,35,,
Wii_fit_trainer,Ground Attacks,Down Smash,18,46,--,12.0,-25,18—21,Charge hold frame is 4,9,8,--,25,,
Wii_fit_trainer,Ground Attacks,Neutral Air,9/12,34,8,5.0/9.0,-5/-4,9—11/12—13,Autocancels on frame 1-5 and 33 onward,6/7,3/4,--,21,,
Wii_fit_trainer,Ground Attacks,Forward Air,9,35,7,12.0/7.5/10.0/6.0,-2/-4/-3/-4,9(10/11—15),Autocancels on frame 1-8 and 25 onward,9/7/12/6,5/3/4/3,"Early/Late, Meteor early/late",20,,
Wii_fit_trainer,Ground Attacks,Back Air,5,48,12,13.5/11.0/6.0,-7/-8/-9,5(6—11),Autocancels on frame 1-2 and 43 onward,11/7/6,5/4/3,Far/close/late,37,,
Wii_fit_trainer,Ground Attacks,Up Air,6,39,9,10.0,-5,6—10,Autocancels on frame 1-5 and 36 onward,8,4,--,29,,
Wii_fit_trainer,Ground Attacks,Down Air,15,39,12,13.0,-7,15—17(18—20),Autocancels on frame 35 onward,10,5,--,19,,
Wii_fit_trainer,Ground Attacks,Neutral B (Sun Salutation),4(+17),39,--,5.0—20.7,-26 to -16,21—90,Startup is 4 from charging state. 17 frames to enter charging state. 4 frames to cancel charge with shield.,6—13,3—6,Uncharged—Full Charge,--,,
Wii_fit_trainer,Ground Attacks,"Sun Salutation, Full Charge",21,56,--,21.0,-16,21—90,103 frames to reach full charge,13,6,--,--,,
Wii_fit_trainer,Ground Attacks,Side B (Header),15—31,40—56,15,15.0/8.9—10.3,-11/-13,**,"Earliest/latest hit. Total frames does not count 5 frames of hitlag from hitting the ball. Can cancel move on frame 10, resulting in 15 special landing lag",10/8,14/4,Header/ball,--,,
Wii_fit_trainer,Ground Attacks,Up B (Super Hoop),6/23/40,30,--,5.0,**,**,--,7,0,--,--,,
Wii_fit_trainer,Ground Attacks,Down B (Deep Breathing),39,--,--,--,--,**,"24 frames endlag when successful, 15 frames  in the air. 48 frames when unsuccessful. Effects lasts for just under ten seconds. Repeated use slows charge. Frame 39 is the earliest you can succeed on fresh use.",--,--,--,--,,
Wii_fit_trainer,Ground Attacks,Grab,6,34,--,--,,6—7,--,,,,27,,
Wii_fit_trainer,Ground Attacks,Dash Grab,9,42,--,--,,9—10,--,,,,32,,
Wii_fit_trainer,Ground Attacks,Pivot Grab,10,37,--,--,,10—11,--,,,,26,,
Wii_fit_trainer,Ground Attacks,Pummel,1,19,--,1.3,,,Total frames includes 13 frames of hitlag,,,,,,
Wii_fit_trainer,Ground Attacks,Forward Throw,36/38,49,--,3.0/7.0,,,--,,,,,,
Wii_fit_trainer,Ground Attacks,Backward Throw,19/21,49,--,3.0/6.0,,,--,,,,,,
Wii_fit_trainer,Ground Attacks,Up Throw,28,49,--,8.0,,,--,,,,,,
Wii_fit_trainer,Ground Attacks,Down Throw,24,49,--,7.0,,,--,,,,,,
Wii_fit_trainer,Ground Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17,,,,,,
Wii_fit_trainer,Ground Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15,,,,,,
Wii_fit_trainer,Ground Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16,,,,,,
Wii_fit_trainer,Ground Attacks,Neutral Air Dodge,,57,10,,,,Intangible on frame 3-28,,,,,,
Wii_fit_trainer,Ground Attacks,"Air Dodge, Down",,80,11-19,,,,Intangible on frame 3-21,,,,,,
