character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Wolf,Ground Attacks,Jab 1,4,21,--,2.0,-14,4,Transitions to Jab 2 as early as frame 7.,7,3,--,17,,
Wolf,Ground Attacks,Jab 2,4,21,--,2.0,-14,4,Transitions to Jab 3 as early as frame 7.,5,3,--,17,,
Wolf,Ground Attacks,Jab 3,4,34,--,4.0,-25,4,--,11,5,--,30,,
Wolf,Ground Attacks,Forward Tilt,8/9,34,--,5.0/6.0,-19,8/9—10,--,11/6,-/6,--,24,,
Wolf,Ground Attacks,Up Tilt,7,35,--,10.0/8.0/9.0/10.0,-18,7—11,--,8,10,Early Front/Tip/Mid/Close,24,,
Wolf,Ground Attacks,Down Tilt,5,27,--,6.0,-16,5—6,--,6,6,--,21,,
Wolf,Ground Attacks,Dash Attack,11,37,--,11.0/8.0,-16,11—14/15—18,--,8/7,10/8,Early/Late,19,,
Wolf,Ground Attacks,Forward Smash,20,41,--,15.0,-10,20—23,Charge hold is frame 6,10,10,--,18,,
Wolf,Ground Attacks,Up Smash,13/20,47,--,6.0/12.0,-29/-19,13—15/20—23,Charge hold is frame 3,6/9,5/8,Early/Late,24,,
Wolf,Ground Attacks,Down Smash,14/21,43,--,"14.0/16.0, 12.0/14.0",-19/-18/-14/-12,14—15/21—22,Charge hold is frame 2,10/10/9/10,10/11/8/10,"First close/far, Second close/far",21,,
Wolf,Ground Attacks,Neutral Air,7,42,9,12.0/8.0,-4/-5,7—9/10—26,Autocancels on frame 1-6 and 39 onward,9/7,5/4,Early/Late,16,,
Wolf,Ground Attacks,Forward Air,7,40,10,9.0,-6,7—9,Autocancels on frame 30 onward,7,4,--,31,,
Wolf,Ground Attacks,Back Air,13,44,15,11.0/13.0/15.0,-11/-10,13—15,Autocancels on frame 1-7 and 19 onward,8/10,4/5,Close/Mid/Far,29,,
Wolf,Ground Attacks,Up Air,7,38,10,12.0,-5,7—9,Autocancels on frame 1-3 and 31 onward,9,5,--,29,,
Wolf,Ground Attacks,Down Air,16,53,19,15.0/13.0,-14/-14,16—17,Autocancels on frame 1-4 and 36 onward,10/9,5/5,Far/Close,36,,
Wolf,Ground Attacks,Neutral B (Blaster),15/16,52,--,7.0 (Melee) / 6.0 (Early shot) / 8.0 (Mid shot) / 7.0 (Late shot),-24,15—19/16—50,--,10/9,-/3,Bayonet/Shot,2,,
Wolf,Ground Attacks,Side B (Wolf Flash),18,**,29,20.0/15.0/3.0,**,**,Sweetspot is on frame 20. Can be slightly angled up or down. *Weak hit's hitboxes actually trail behind the character and are not actually on Wolf.*,18/5,18/2,Sweet/Sourspot/Trail,--,,
Wolf,Ground Attacks,Up B (Fire Wolf),18...,66,36,4.0/2.5/5.0,-24,18—20/27—32(Rehit :2)/37—38,Total frames refers to travel along the ground. Final hit does 1.0 more damage when you are airborne.,5/5/15,5/-/6,First/Multi/Final,28,,
Wolf,Ground Attacks,Down B (Reflector),6,30,--,4.0,-19,**,Total frames refers to minimum usage. 12 endlag from extended usage. Invulnerable on frame 5-8. Reflects on frame 9.,8,5,--,--,,
Wolf,Ground Attacks,Grab,6,36,--,--,,6—7,--,,,,29,,
Wolf,Ground Attacks,Dash Grab,8,44,--,--,,8—9,--,,,,35,,
Wolf,Ground Attacks,Pivot Grab,9,39,--,--,,9—10,--,,,,29,,
Wolf,Ground Attacks,Pummel,1,19,Total frames includes 13 frames of hitlag.,1.3,,,--,,,,,,
Wolf,Ground Attacks,Forward Throw,10/11,32,--,5.0/4.0,,,--,,,,,,
Wolf,Ground Attacks,Backward Throw,23/24,47,--,6.0/5.0,,,--,,,,,,
Wolf,Ground Attacks,Up Throw,26/27,45,--,5.0/2.0,,,--,,,,,,
Wolf,Ground Attacks,Down Throw,26,40,--,8.5,,,--,,,,,,
Wolf,Ground Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17.,,,,,,
Wolf,Ground Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15.,,,,,,
Wolf,Ground Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16.,,,,,,
Wolf,Ground Attacks,Neutral Air Dodge,,44,10,,,,Intangible on frame 2-26.,,,,,,
Wolf,Ground Attacks,"Air Dodge, Down",,61,11-19,,,,Intangible on frame 2-20.,,,,,,
Wolf,Ground Attacks,"Air Dodge, Diagonally Down",,68,11-19,,,,Intangible on frame 2-20.,,,,,,
Wolf,Ground Attacks,"Air Dodge, Left/Right",,73,11-19,,,,Intangible on frame 2-20.,,,,,,
Wolf,Ground Attacks,"Air Dodge, Diagonally Up",,84,11-19,,,,Intangible on frame 2-20.,,,,,,
Wolf,Ground Attacks,"Air Dodge, Up",,93,11-19,,,,Intangible on frame 2-20.,,,,,,
Wolf,Ground Attacks,Stats,,,,,,,,,,,,,
Wolf,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Wolf,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Wolf,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Wolf,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Wolf,Aerial Attacks,Neutral Air,7,42,9,12.0/8.0,-4/-5,7—9/10—26,Autocancels on frame 1-6 and 39 onward,9/7,5/4,Early/Late,16,,
Wolf,Aerial Attacks,Forward Air,7,40,10,9.0,-6,7—9,Autocancels on frame 30 onward,7,4,--,31,,
Wolf,Aerial Attacks,Back Air,13,44,15,11.0/13.0/15.0,-11/-10,13—15,Autocancels on frame 1-7 and 19 onward,8/10,4/5,Close/Mid/Far,29,,
Wolf,Aerial Attacks,Up Air,7,38,10,12.0,-5,7—9,Autocancels on frame 1-3 and 31 onward,9,5,--,29,,
Wolf,Aerial Attacks,Down Air,16,53,19,15.0/13.0,-14/-14,16—17,Autocancels on frame 1-4 and 36 onward,10/9,5/5,Far/Close,36,,
Wolf,Aerial Attacks,Neutral B (Blaster),15/16,52,--,7.0 (Melee) / 6.0 (Early shot) / 8.0 (Mid shot) / 7.0 (Late shot),-24,15—19/16—50,--,10/9,-/3,Bayonet/Shot,2,,
Wolf,Aerial Attacks,Side B (Wolf Flash),18,**,29,20.0/15.0/3.0,**,**,Sweetspot is on frame 20. Can be slightly angled up or down. *Weak hit's hitboxes actually trail behind the character and are not actually on Wolf.*,18/5,18/2,Sweet/Sourspot/Trail,--,,
