character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Young_link,Ground Attacks,Jab 1,4,17,--,2.0,-10,4—5,Transitions to Jab 2 as early as frame 7,7,3,--,12,,
Young_link,Ground Attacks,Jab 2,6,16,--,1.5,-7,6—7,Transitions to Jab 3 as early as frame 9 and Rapid Jab on 11,5,3,--,9,,
Young_link,Ground Attacks,Jab 3,6,35,--,3.5,-25,6—7,--,11,4,--,28,,
Young_link,Ground Attacks,Rapid Jab,3/5/7,--,--,0.3,--,**,--,4,-,--,--,,
Young_link,Ground Attacks,Rapid Jab Finisher,4,45,--,2.5,-37,4—5,--,10,4,--,40,,
Young_link,Ground Attacks,Forward Tilt,10,33,--,12.0/11.0,-12/-13,10—12,--,11/8,11/10,Close/Far,21,,
Young_link,Ground Attacks,Up Tilt,9,31,--,8.0,-14,9—14,--,7,8,--,17,,
Young_link,Ground Attacks,Down Tilt,8,25,--,10.0/9.0/7.0,-7/-8/-10,8—9,--,8/7/7,10/9/7,Close/Medium/Far,16,,
Young_link,Ground Attacks,Dash Attack,8,34,--,11.0/10.0,-16,8—10,--,10/8,10/10,Close/Far,24,,
Young_link,Ground Attacks,Forward Smash 1,15,47,--,6.0,-27,15—16,Transitions to Forward Smash 2 as early as frame 20. Charge hold is frame 9,6,5,--,31,,
Young_link,Ground Attacks,Forward Smash 2,11,49,--,12.0,-30,11—12,--,13,8,--,37,,
Young_link,Ground Attacks,Up Smash,10/25/41,69,--,3.0/8.0,-22,10—14/25—29/41—45,Charge hold is frame 5,5/7,3/6,Multi/Final,24,,
Young_link,Ground Attacks,Down Smash,9/21,49,--,13.0/10.0/12.0/9.0,-31/-33/-20/-21,9—10/21—22,Charge hold frame is 3,9/8/9/7,9/7/8/7,"Close/far, Close/far",27,,
Young_link,Ground Attacks,Neutral Air,4,35,6,10.0/5.0,-2/-3,4—5(6—27),Autocancels on frame 1-3 and 32 onward,8/6,4/3,Early/Late,8,,
Young_link,Ground Attacks,Forward Air,14/24,40,6,6.0/8.0/7.0,-3/-2,14—15/24—25,Autocancels on frame 41 onward,6/9,3/4,First/Second Close/Second Far,15,,
Young_link,Ground Attacks,Back Air,6/18,29,6,5.0/7.0,-3/-3,6—8/18—20,Autocancels on frame 29 onward,6/8,3/3,--,9,,
Young_link,Ground Attacks,Up Air,5,59,14,15.0/12.0,-9,5—7(8—49),Autocancels on frame 1-4 and 56 onward,9,5,Early/Late,10,,
Young_link,Ground Attacks,Down Air,13,79,17,18.0/15.0/9.0,Bounce: ** | Fast Fall: -11/-12,13—15(16—64),Autocancels on frame 1-12 and 65 onward. Can hit same target once again after 30 frames during pogo effect.,14/12,6/5,Early/Late/Pogo,15,,
Young_link,Ground Attacks,Z Air,9,71,8,4.0,-3,9—16,--,5,5,--,55,,
