character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Zero_suit_samus,Ground Attacks,Jab 1,1,23,--,1.5,-19,1,Transitions to Jab 2 as early as frame 6,8,3,--,22,,
Zero_suit_samus,Ground Attacks,Jab 2,2,25,--,1.5,-20,2,Transitions to Jab 3 as early as frame 6,8,3,--,23,,
Zero_suit_samus,Ground Attacks,Jab 3,3,34,--,3.0,-27,3—4,--,9,4,--,30,,
Zero_suit_samus,Ground Attacks,Forward Tilt,6,28,--,7.0/8.0,-15/-14,6—8,--,7/7,7/8,no angle/angled,20,,
Zero_suit_samus,Ground Attacks,Up Tilt,3/9,45,--,5.0/7.0,-36/-29,3—4/9—10,--,7/8,6/7,--,35,,
Zero_suit_samus,Ground Attacks,Down Tilt,8,29,--,8.0/6.0,-13,8—9,--,7,8,--,20,,
Zero_suit_samus,Ground Attacks,Dash Attack,7,51,--,8.0/5.0,-36,7—9(10—19),--,7/6,8/6,Early/Late,32,,
Zero_suit_samus,Ground Attacks,Forward Smash,13/26,64,--,5.0/11.0/11.0,-30,13—14/26—28,Charge hold is frame 9,6/8/14,4/8/8,first/second/second far,36,,
Zero_suit_samus,Ground Attacks,Up Smash,10/14/17/20/23/26/28,48,--,4.0/0.8/3.0,-17,10—11/14/17/20/23/26/28—29,Charge hold is frame 4,8/6/7,4/2/3,First/multi/Final,19,,
Zero_suit_samus,Ground Attacks,Down Smash,20,41,--,8.0/6.0,-15/-16,20—24,Charge hold is frame 15,7/6,6/5,Close/Far,17,,
Zero_suit_samus,Ground Attacks,Neutral Air,10,51,8,8.0,-4,10—11(15—16),Autocancels on frame 1-3 and 42 onward,11,4,--,35,,
Zero_suit_samus,Ground Attacks,Forward Air,6/13,46,10,5.0/7.0,-7/-7,6—7/13—14,Autocancels on frame 1-3 and 38 onward,6/7,3/3,--,32,,
Zero_suit_samus,Ground Attacks,Back Air,8,40,10,10.0/12.0,-6/-5,8—9,Autocancels on frame 1-3 and 31 onward,8/9,4/5,Close/Far,31,,
Zero_suit_samus,Ground Attacks,Up Air,6,34,5,6.5,-2,6—12,Autocancels on frame 25 onward,6,3,--,22,,
Zero_suit_samus,Ground Attacks,Down Air,14,67,24,6.0/5.0/5.5,-17,14—49/1—3,Landing hit on frame 1. Autocancels on frame 1-3 and 50 onward,6/6,3/6,Aerial Opponent/Grounded Opponent/Landing,18,,
Zero_suit_samus,Ground Attacks,Z Air,9,49,8,5.0,-2,9—19,Tethers on frame 2,9,6,--,30,,
